# x_nm  y_nm  z_nm  mx  my  mz
8.500000 39.500000 0.500000 -0.199735 0.979831 -0.006075
8.500000 39.500000 1.500000 -0.199740 0.979830 -0.006095
8.500000 39.500000 2.500000 -0.199732 0.979831 -0.006128
8.500000 39.500000 3.500000 -0.199718 0.979834 -0.006171
8.500000 39.500000 4.500000 -0.199702 0.979837 -0.006223
8.500000 39.500000 5.500000 -0.199686 0.979840 -0.006281
8.500000 39.500000 6.500000 -0.199671 0.979843 -0.006344
8.500000 39.500000 7.500000 -0.199656 0.979845 -0.006410
8.500000 39.500000 8.500000 -0.199642 0.979848 -0.006478
8.500000 39.500000 9.500000 -0.199628 0.979850 -0.006548
8.500000 39.500000 10.500000 -0.199615 0.979852 -0.006619
8.500000 39.500000 11.500000 -0.199603 0.979854 -0.006691
8.500000 39.500000 12.500000 -0.199591 0.979856 -0.006763
8.500000 39.500000 13.500000 -0.199579 0.979858 -0.006834
8.500000 39.500000 14.500000 -0.199567 0.979860 -0.006905
8.500000 39.500000 15.500000 -0.199555 0.979862 -0.006976
8.500000 39.500000 16.500000 -0.199544 0.979864 -0.007045
8.500000 39.500000 17.500000 -0.199532 0.979865 -0.007113
8.500000 39.500000 18.500000 -0.199521 0.979867 -0.007180
8.500000 39.500000 19.500000 -0.199510 0.979869 -0.007246
8.500000 39.500000 20.500000 -0.199498 0.979871 -0.007310
8.500000 39.500000 21.500000 -0.199487 0.979873 -0.007373
8.500000 39.500000 22.500000 -0.199476 0.979875 -0.007434
8.500000 39.500000 23.500000 -0.199465 0.979876 -0.007493
8.500000 39.500000 24.500000 -0.199453 0.979878 -0.007550
8.500000 39.500000 25.500000 -0.199442 0.979880 -0.007605
8.500000 39.500000 26.500000 -0.199431 0.979882 -0.007658
8.500000 39.500000 27.500000 -0.199420 0.979884 -0.007709
8.500000 39.500000 28.500000 -0.199409 0.979886 -0.007758
8.500000 39.500000 29.500000 -0.199398 0.979887 -0.007805
8.500000 39.500000 30.500000 -0.199387 0.979889 -0.007850
8.500000 39.500000 31.500000 -0.199376 0.979891 -0.007892
8.500000 39.500000 32.500000 -0.199365 0.979893 -0.007932
8.500000 39.500000 33.500000 -0.199354 0.979895 -0.007969
8.500000 39.500000 34.500000 -0.199343 0.979897 -0.008005
8.500000 39.500000 35.500000 -0.199332 0.979899 -0.008037
8.500000 39.500000 36.500000 -0.199321 0.979901 -0.008068
8.500000 39.500000 37.500000 -0.199311 0.979903 -0.008096
8.500000 39.500000 38.500000 -0.199300 0.979905 -0.008121
8.500000 39.500000 39.500000 -0.199289 0.979907 -0.008144
8.500000 39.500000 40.500000 -0.199278 0.979909 -0.008164
8.500000 39.500000 41.500000 -0.199267 0.979911 -0.008182
8.500000 39.500000 42.500000 -0.199256 0.979913 -0.008198
8.500000 39.500000 43.500000 -0.199245 0.979915 -0.008211
8.500000 39.500000 44.500000 -0.199234 0.979917 -0.008221
8.500000 39.500000 45.500000 -0.199223 0.979920 -0.008229
8.500000 39.500000 46.500000 -0.199212 0.979922 -0.008234
8.500000 39.500000 47.500000 -0.199201 0.979924 -0.008236
8.500000 39.500000 48.500000 -0.199190 0.979926 -0.008236
8.500000 39.500000 49.500000 -0.199179 0.979929 -0.008234
8.500000 39.500000 50.500000 -0.199168 0.979931 -0.008229
8.500000 39.500000 51.500000 -0.199157 0.979933 -0.008221
8.500000 39.500000 52.500000 -0.199146 0.979935 -0.008211
8.500000 39.500000 53.500000 -0.199135 0.979938 -0.008198
8.500000 39.500000 54.500000 -0.199124 0.979940 -0.008182
8.500000 39.500000 55.500000 -0.199113 0.979943 -0.008165
8.500000 39.500000 56.500000 -0.199102 0.979945 -0.008144
8.500000 39.500000 57.500000 -0.199091 0.979947 -0.008121
8.500000 39.500000 58.500000 -0.199080 0.979950 -0.008096
8.500000 39.500000 59.500000 -0.199069 0.979952 -0.008068
8.500000 39.500000 60.500000 -0.199058 0.979955 -0.008037
8.500000 39.500000 61.500000 -0.199047 0.979957 -0.008005
8.500000 39.500000 62.500000 -0.199036 0.979960 -0.007970
8.500000 39.500000 63.500000 -0.199024 0.979962 -0.007932
8.500000 39.500000 64.500000 -0.199013 0.979965 -0.007892
8.500000 39.500000 65.500000 -0.199002 0.979968 -0.007850
8.500000 39.500000 66.500000 -0.198990 0.979970 -0.007805
8.500000 39.500000 67.500000 -0.198979 0.979973 -0.007759
8.500000 39.500000 68.500000 -0.198967 0.979976 -0.007710
8.500000 39.500000 69.500000 -0.198956 0.979979 -0.007659
8.500000 39.500000 70.500000 -0.198944 0.979981 -0.007606
8.500000 39.500000 71.500000 -0.198932 0.979984 -0.007551
8.500000 39.500000 72.500000 -0.198920 0.979987 -0.007494
8.500000 39.500000 73.500000 -0.198907 0.979990 -0.007435
8.500000 39.500000 74.500000 -0.198895 0.979993 -0.007374
8.500000 39.500000 75.500000 -0.198882 0.979996 -0.007312
8.500000 39.500000 76.500000 -0.198869 0.979999 -0.007248
8.500000 39.500000 77.500000 -0.198856 0.980002 -0.007183
8.500000 39.500000 78.500000 -0.198843 0.980006 -0.007117
8.500000 39.500000 79.500000 -0.198829 0.980009 -0.007049
8.500000 39.500000 80.500000 -0.198815 0.980012 -0.006981
8.500000 39.500000 81.500000 -0.198801 0.980016 -0.006912
