# t (s)	mx ()	my ()	mz ()	Dind (J/m2)	B_extx (T)	B_exty (T)	B_extz (T)
0	2.285282e-10	1.1945709e-09	-1	0	0	0	0
0	0.010386671	-0.039349478	-0.99846727	0	0.0037022377	-0.018189332	0
0	0.020771587	-0.07869905	-0.99385583	0	0.0074044755	-0.036378663	0
0	0.03115291	-0.11804869	-0.9861262	0	0.011106713	-0.054568	0
0	0.041528676	-0.15739794	-0.9752098	0	0.014808951	-0.072757326	0
0	0.051896702	-0.19674593	-0.9610068	0	0.018511187	-0.09094666	0
0	0.06225447	-0.2360907	-0.9433816	0	0.022213425	-0.109136	0
0	0.07259893	-0.27542913	-0.9221541	0	0.025915667	-0.12732531	0
0	0.08292627	-0.3147558	-0.8970908	0	0.029617902	-0.14551465	0
0	0.09323156	-0.354062	-0.8678899	0	0.033320144	-0.16370395	0
0	0.10350796	-0.39333364	-0.8341575	0	0.037022375	-0.18189332	0
0	-9.730236e-11	1.4233945e-09	-0.99984986	0.0003	0	0	0
0	0.010359627	-0.039316207	-0.9983188	0.0003	0.0037022377	-0.018189332	0
0	0.020717558	-0.07863259	-0.99371284	0.0003	0.0074044755	-0.036378663	0
0	0.031072019	-0.11794915	-0.9859919	0.0003	0.011106713	-0.054568	0
0	0.12080342	-0.19988939	-0.48472098	0.0003	0.014808951	-0.072757326	0
0	0.11871674	-0.24589415	-0.47796112	0.0003	0.018511187	-0.09094666	0
0	0.11941237	-0.28786513	-0.4691438	0.0003	0.022213425	-0.109136	0
0	0.07241336	-0.27520055	-0.92209065	0.0003	0.025915667	-0.12732531	0
0	0.08271573	-0.31449637	-0.89705354	0.0003	0.029617902	-0.14551465	0
0	0.092996806	-0.3537727	-0.8678814	0.0003	0.033320144	-0.16370395	0
0	0.10324996	-0.39301574	-0.8341804	0.0003	0.037022375	-0.18189332	0
0	2.9579916e-09	4.4481077e-10	-0.999401	0.0006	0	0	0
0	0.010279777	-0.039217494	-0.99787515	0.0006	0.0037022377	-0.018189332	0
0	0.020558042	-0.07843537	-0.99328494	0.0006	0.0074044755	-0.036378663	0
0	0.030833181	-0.11765385	-0.9855902	0.0006	0.011106713	-0.054568	0
0	0.12929724	-0.1859568	-0.48257178	0.0006	0.014808951	-0.072757326	0
0	0.1291052	-0.23281193	-0.47514078	0.0006	0.018511187	-0.09094666	0
0	0.12995361	-0.2765819	-0.46568283	0.0006	0.022213425	-0.109136	0
0	0.13214388	-0.31801853	-0.45389947	0.0006	0.025915667	-0.12732531	0
0	0.13554314	-0.3578298	-0.43941665	0.0006	0.029617902	-0.14551465	0
0	0.09230349	-0.3529152	-0.8678516	0.0006	0.033320144	-0.16370395	0
0	0.10248809	-0.39207372	-0.8342423	0.0006	0.037022375	-0.18189332	0
0	6.4497563e-10	-1.6013189e-09	-0.9986576	0.0009000002	0	0	0
0	0.010150856	-0.03905654	-0.99714035	0.0009000002	0.0037022377	-0.018189332	0
0	0.020300455	-0.07811381	-0.99257576	0.0009000002	0.0074044755	-0.036378663	0
0	0.030447561	-0.11717246	-0.9849238	0.0009000002	0.011106713	-0.054568	0
0	0.13214824	-0.17609096	-0.4810861	0.0009000002	0.014808951	-0.072757326	0
0	0.13380241	-0.22241543	-0.47310644	0.0009000002	0.018511187	-0.09094666	0
0	0.13566287	-0.26650584	-0.46301717	0.0009000002	0.022213425	-0.109136	0
0	0.13818845	-0.308642	-0.45044473	0.0009000002	0.025915667	-0.12732531	0
0	0.14154585	-0.34920684	-0.434856	0.0009000002	0.029617902	-0.14551465	0
0	0.14576535	-0.38854405	-0.41539875	0.0009000002	0.033320144	-0.16370395	0
0	0.101256706	-0.39054146	-0.8343246	0.0009000002	0.037022375	-0.18189332	0
0	0.10505682	0.025649998	-0.49636185	0.0012	0	0	0
0	0.00997858	-0.038838346	-0.9961218	0.0012	0.0037022377	-0.018189332	0
0	0.019956283	-0.07767797	-0.99159163	0.0012	0.0074044755	-0.036378663	0
0	0.12816729	-0.12158663	-0.48643652	0.0012	0.011106713	-0.054568	0
0	0.13199593	-0.16855155	-0.47997394	0.0012	0.014808951	-0.072757326	0
