# x_nm  y_nm  z_nm  mx  my  mz
8.500000 39.500000 8.500000 -0.020611 0.016179 -0.999657
8.500000 39.500000 9.500000 0.020715 -0.016114 0.999656
8.500000 39.500000 10.500000 -0.020767 0.016071 -0.999655
8.500000 39.500000 11.500000 0.020794 -0.016036 0.999655
8.500000 39.500000 12.500000 -0.020806 0.016006 -0.999655
8.500000 39.500000 13.500000 0.020808 -0.015979 0.999656
8.500000 39.500000 14.500000 -0.020805 0.015956 -0.999656
8.500000 39.500000 15.500000 0.020797 -0.015934 0.999657
8.500000 39.500000 16.500000 -0.020788 0.015913 -0.999657
8.500000 39.500000 17.500000 0.020776 -0.015894 0.999658
8.500000 39.500000 18.500000 -0.020764 0.015876 -0.999658
8.500000 39.500000 19.500000 0.020751 -0.015858 0.999659
8.500000 39.500000 20.500000 -0.020737 0.015841 -0.999659
8.500000 39.500000 21.500000 0.020724 -0.015825 0.999660
8.500000 39.500000 22.500000 -0.020710 0.015809 -0.999660
8.500000 39.500000 23.500000 0.020697 -0.015794 0.999661
8.500000 39.500000 24.500000 -0.020684 0.015779 -0.999662
8.500000 39.500000 25.500000 0.020671 -0.015764 0.999662
8.500000 39.500000 26.500000 -0.020659 0.015751 -0.999663
8.500000 39.500000 27.500000 0.020647 -0.015737 0.999663
8.500000 39.500000 28.500000 -0.020635 0.015724 -0.999663
8.500000 39.500000 29.500000 0.020623 -0.015711 0.999664
8.500000 39.500000 30.500000 -0.020612 0.015699 -0.999664
8.500000 39.500000 31.500000 0.020602 -0.015687 0.999665
8.500000 39.500000 32.500000 -0.020591 0.015675 -0.999665
8.500000 39.500000 33.500000 0.020581 -0.015664 0.999665
8.500000 39.500000 34.500000 -0.020572 0.015653 -0.999666
8.500000 39.500000 35.500000 0.020563 -0.015642 0.999666
8.500000 39.500000 36.500000 -0.020554 0.015632 -0.999667
8.500000 39.500000 37.500000 0.020546 -0.015622 0.999667
8.500000 39.500000 38.500000 -0.020538 0.015613 -0.999667
8.500000 39.500000 39.500000 0.020530 -0.015604 0.999667
