# t (s)	mx ()	my ()	mz ()	Kc1 (J/m3)	Kc2 (J/m3)
0	0.65067345	-0.6534593	-9.174269e-08	-6000	12000
0	-3.425862e-09	-1.02117035e-08	-1.3835212e-09	-6000	12000
0	-1.8776358e-08	1.4889323e-08	-8.7842617e-10	-6000	12000
0	-1.5811671e-09	-1.67999e-09	-0.0009398217	-6000	12000
0	-1.08507585e-08	-9.496884e-09	4.2164455e-10	-6000	12000
0	-9.838373e-09	1.01019e-09	0.0031896112	-6000	12000
0	-5.788201e-10	-1.4776382e-09	-4.5176202e-10	-6000	12000
0	1.0541114e-09	3.9529177e-10	0.021333126	-6000	12000
0	4.532615e-06	2.7698484e-06	0.9999656	-6000	12000
0	-3.1171392e-05	-6.384456e-06	-0.000372577	-6000	12000
0	-3.1383883e-05	2.7594e-05	-0.000369006	-6000	12000
0	9.425076e-07	7.8198593e-07	0.9996864	-6000	12000
0	1.2717959e-05	-4.5616207e-06	-4.903726e-07	-6000	12000
0	3.8009882e-06	-1.0006256e-05	-3.081519e-07	-6000	12000
0	2.45063e-06	-1.012113e-05	-2.900312e-07	-6000	12000
0	-6.632584e-06	6.945857e-06	-2.4244562e-07	-6000	12000
0	-8.672174e-06	2.3605505e-06	-0.000759832	-6000	12000
0	-1.323371e-06	-5.900151e-05	-0.0007459113	-6000	12000
0	-1.8540472e-06	-8.6074785e-08	0.9998496	-6000	12000
0	8.783126e-06	-5.151172e-05	-3.6793758e-06	-6000	12000
0	-2.2066959e-05	2.6375843e-05	-1.5893892e-06	-6000	12000
0	-2.3922876e-05	-1.2184166e-05	-9.696067e-07	-6000	12000
0	-2.838948e-07	3.3076097e-07	0.9998418	-6000	12000
0	3.7761408e-06	-1.8592302e-05	-4.833101e-07	-6000	12000
