# x_nm  y_nm  z_nm  mx  my  mz
8.500000 39.500000 56.500000 -0.111246 0.638049 0.761917
8.500000 39.500000 57.500000 -0.112706 0.637464 0.762193
8.500000 39.500000 58.500000 -0.114756 0.636489 0.762701
8.500000 39.500000 59.500000 -0.117054 0.635340 0.763309
8.500000 39.500000 60.500000 -0.119450 0.634170 0.763911
8.500000 39.500000 61.500000 -0.121883 0.633085 0.764426
8.500000 39.500000 62.500000 -0.124334 0.632155 0.764801
8.500000 39.500000 63.500000 -0.126809 0.631423 0.765000
8.500000 39.500000 64.500000 -0.129321 0.630905 0.765006
8.500000 39.500000 65.500000 -0.131882 0.630601 0.764820
8.500000 39.500000 66.500000 -0.134498 0.630489 0.764457
8.500000 39.500000 67.500000 -0.137156 0.630528 0.763952
8.500000 39.500000 68.500000 -0.139812 0.630660 0.763361
8.500000 39.500000 69.500000 -0.142369 0.630813 0.762762
8.500000 39.500000 70.500000 -0.144625 0.630904 0.762262
8.500000 39.500000 71.500000 -0.146177 0.630871 0.761994
8.500000 40.500000 56.500000 -0.102454 0.639657 0.761802
8.500000 40.500000 57.500000 -0.103892 0.639049 0.762117
8.500000 40.500000 58.500000 -0.105915 0.638078 0.762653
8.500000 40.500000 59.500000 -0.108182 0.636946 0.763280
8.500000 40.500000 60.500000 -0.110548 0.635801 0.763895
8.500000 40.500000 61.500000 -0.112949 0.634747 0.764421
8.500000 40.500000 62.500000 -0.115368 0.633852 0.764802
8.500000 40.500000 63.500000 -0.117808 0.633159 0.765004
8.500000 40.500000 64.500000 -0.120283 0.632685 0.765011
8.500000 40.500000 65.500000 -0.122804 0.632428 0.764823
8.500000 40.500000 66.500000 -0.125377 0.632368 0.764455
8.500000 40.500000 67.500000 -0.127991 0.632464 0.763942
8.500000 40.500000 68.500000 -0.130603 0.632659 0.763338
8.500000 40.500000 69.500000 -0.133119 0.632880 0.762720
8.500000 40.500000 70.500000 -0.135343 0.633044 0.762193
8.500000 40.500000 71.500000 -0.136883 0.633083 0.761885
8.500000 41.500000 56.500000 -0.090138 0.641713 0.761629
8.500000 41.500000 57.500000 -0.091535 0.641091 0.761987
8.500000 41.500000 58.500000 -0.093509 0.640124 0.762560
8.500000 41.500000 59.500000 -0.095727 0.639014 0.763215
8.500000 41.500000 60.500000 -0.098042 0.637902 0.763851
8.500000 41.500000 61.500000 -0.100391 0.636889 0.764391
8.500000 41.500000 62.500000 -0.102757 0.636042 0.764782
8.500000 41.500000 63.500000 -0.105141 0.635402 0.764990
8.500000 41.500000 64.500000 -0.107556 0.634988 0.764998
8.500000 41.500000 65.500000 -0.110014 0.634798 0.764806
8.500000 41.500000 66.500000 -0.112521 0.634810 0.764431
