# t (s)	mx ()	my ()	mz ()	Kc1 (J/m3)	Kc2 (J/m3)
0	-0.66245466	-0.6409253	2.0254915e-06	-6000	12000
0	0.16747122	-0.7039111	-0.0011913615	-6000	12000
0	3.6893898e-08	-7.853129e-08	-0.0011653613	-6000	12000
0	1.950106e-08	-1.380227e-08	-0.0021792648	-6000	12000
0	1.939565e-07	-5.429464e-07	0.0039864564	-6000	12000
0	0	2.6133177e-08	-0.008442447	-6000	12000
0	1.5058734e-09	1.5811671e-09	-0.018416248	-6000	12000
0	-1.0541114e-09	5.5999666e-10	-0.15082894	-6000	12000
0	-4.1433745e-07	-3.6004698e-07	0.9999659	-6000	12000
0	1.8520791e-06	-3.961853e-06	0.99985474	-6000	12000
0	-4.738416e-07	-7.753538e-07	0.99973816	-6000	12000
0	-1.7343501e-06	-1.1976517e-06	0.9996864	-6000	12000
0	-1.3036864e-06	-7.453028e-07	0.9996771	-6000	12000
0	-7.3128734e-07	-5.770162e-07	0.9996877	-6000	12000
0	-1.0516172e-06	5.115311e-07	0.9997058	-6000	12000
0	-5.20791e-07	-3.106108e-07	0.9997263	-6000	12000
0	-4.1531513e-07	-7.0168403e-07	0.99996924	-6000	12000
0	2.2864772e-07	3.0038056e-08	0.99990386	-6000	12000
0	1.2266912e-07	3.8663927e-07	0.9998496	-6000	12000
0	2.3505063e-08	3.9135944e-07	0.9998282	-6000	12000
0	-2.5046262e-07	2.5393544e-07	0.9998256	-6000	12000
0	-2.9060635e-08	1.5099596e-07	0.999832	-6000	12000
0	-3.78411e-07	5.245969e-07	0.9998418	-6000	12000
0	-3.713954e-07	4.4860263e-07	0.99985266	-6000	12000
