# x_nm  y_nm  z_nm  mx  my  mz
8.500000 39.500000 8.500000 0.020366 0.015093 -0.999679
8.500000 39.500000 9.500000 -0.020232 -0.015029 0.999682
8.500000 39.500000 10.500000 0.020142 0.014987 -0.999685
8.500000 39.500000 11.500000 -0.020073 -0.014952 0.999687
8.500000 39.500000 12.500000 0.020019 0.014924 -0.999688
8.500000 39.500000 13.500000 -0.019974 -0.014898 0.999690
8.500000 39.500000 14.500000 0.019935 0.014875 -0.999691
8.500000 39.500000 15.500000 -0.019901 -0.014854 0.999692
8.500000 39.500000 16.500000 0.019870 0.014835 -0.999692
8.500000 39.500000 17.500000 -0.019842 -0.014817 0.999693
8.500000 39.500000 18.500000 0.019816 0.014799 -0.999694
8.500000 39.500000 19.500000 -0.019791 -0.014783 0.999695
8.500000 39.500000 20.500000 0.019767 0.014767 -0.999696
8.500000 39.500000 21.500000 -0.019744 -0.014751 0.999696
8.500000 39.500000 22.500000 0.019722 0.014736 -0.999697
8.500000 39.500000 23.500000 -0.019701 -0.014722 0.999698
8.500000 39.500000 24.500000 0.019680 0.014708 -0.999698
8.500000 39.500000 25.500000 -0.019660 -0.014694 0.999699
8.500000 39.500000 26.500000 0.019640 0.014681 -0.999699
8.500000 39.500000 27.500000 -0.019621 -0.014668 0.999700
8.500000 39.500000 28.500000 0.019603 0.014655 -0.999700
8.500000 39.500000 29.500000 -0.019585 -0.014643 0.999701
8.500000 39.500000 30.500000 0.019567 0.014632 -0.999701
8.500000 39.500000 31.500000 -0.019550 -0.014620 0.999702
8.500000 39.500000 32.500000 0.019534 0.014609 -0.999702
8.500000 39.500000 33.500000 -0.019518 -0.014599 0.999703
8.500000 39.500000 34.500000 0.019502 0.014588 -0.999703
8.500000 39.500000 35.500000 -0.019487 -0.014579 0.999704
8.500000 39.500000 36.500000 0.019472 0.014569 -0.999704
8.500000 39.500000 37.500000 -0.019458 -0.014560 0.999705
8.500000 39.500000 38.500000 0.019444 0.014551 -0.999705
8.500000 39.500000 39.500000 -0.019430 -0.014542 0.999705
8.500000 39.500000 40.500000 0.019417 0.014534 -0.999706
8.500000 39.500000 41.500000 -0.019405 -0.014526 0.999706
8.500000 39.500000 42.500000 0.019393 0.014518 -0.999707
8.500000 39.500000 43.500000 -0.019381 -0.014511 0.999707
8.500000 39.500000 44.500000 0.019370 0.014504 -0.999707
8.500000 39.500000 45.500000 -0.019359 -0.014498 0.999708
8.500000 39.500000 46.500000 0.019349 0.014491 -0.999708
8.500000 39.500000 47.500000 -0.019339 -0.014485 0.999708
8.500000 39.500000 48.500000 0.019330 0.014480 -0.999708
8.500000 39.500000 49.500000 -0.019321 -0.014474 0.999709
8.500000 39.500000 50.500000 0.019312 0.014469 -0.999709
8.500000 39.500000 51.500000 -0.019304 -0.014465 0.999709
8.500000 39.500000 52.500000 0.019297 0.014460 -0.999709
8.500000 39.500000 53.500000 -0.019289 -0.014456 0.999709
8.500000 39.500000 54.500000 0.019283 0.014453 -0.999710
8.500000 39.500000 55.500000 -0.019276 -0.014449 0.999710
8.500000 39.500000 56.500000 0.019270 0.014446 -0.999710
8.500000 39.500000 57.500000 -0.019265 -0.014443 0.999710
8.500000 39.500000 58.500000 0.019260 0.014441 -0.999710
8.500000 39.500000 59.500000 -0.019255 -0.014439 0.999710
8.500000 39.500000 60.500000 0.019251 0.014437 -0.999711
8.500000 39.500000 61.500000 -0.019247 -0.014435 0.999711
8.500000 39.500000 62.500000 0.019243 0.014434 -0.999711
8.500000 39.500000 63.500000 -0.019240 -0.014433 0.999711
8.500000 39.500000 64.500000 0.019238 0.014433 -0.999711
8.500000 39.500000 65.500000 -0.019235 -0.014432 0.999711
8.500000 39.500000 66.500000 0.019233 0.014432 -0.999711
8.500000 39.500000 67.500000 -0.019232 -0.014433 0.999711
8.500000 39.500000 68.500000 0.019231 0.014433 -0.999711
8.500000 39.500000 69.500000 -0.019230 -0.014434 0.999711
8.500000 39.500000 70.500000 0.019230 0.014435 -0.999711
8.500000 39.500000 71.500000 -0.019230 -0.014437 0.999711
8.500000 39.500000 72.500000 0.019231 0.014439 -0.999711
8.500000 39.500000 73.500000 -0.019232 -0.014441 0.999711
8.500000 39.500000 74.500000 0.019233 0.014443 -0.999711
8.500000 39.500000 75.500000 -0.019235 -0.014446 0.999711
8.500000 39.500000 76.500000 0.019237 0.014449 -0.999711
8.500000 39.500000 77.500000 -0.019239 -0.014452 0.999711
8.500000 39.500000 78.500000 0.019242 0.014456 -0.999710
8.500000 39.500000 79.500000 -0.019245 -0.014460 0.999710
8.500000 39.500000 80.500000 0.019249 0.014464 -0.999710
8.500000 39.500000 81.500000 -0.019253 -0.014469 0.999710
8.500000 39.500000 82.500000 0.019257 0.014473 -0.999710
8.500000 39.500000 83.500000 -0.019262 -0.014479 0.999710
8.500000 39.500000 84.500000 0.019267 0.014484 -0.999709
8.500000 39.500000 85.500000 -0.019273 -0.014490 0.999709
8.500000 39.500000 86.500000 0.019278 0.014496 -0.999709
8.500000 39.500000 87.500000 -0.019285 -0.014502 0.999709
8.500000 39.500000 88.500000 0.019291 0.014508 -0.999709
8.500000 39.500000 89.500000 -0.019298 -0.014515 0.999708
8.500000 39.500000 90.500000 0.019306 0.014522 -0.999708
8.500000 39.500000 91.500000 -0.019313 -0.014530 0.999708
8.500000 39.500000 92.500000 0.019321 0.014538 -0.999708
8.500000 39.500000 93.500000 -0.019330 -0.014546 0.999707
8.500000 39.500000 94.500000 0.019338 0.014554 -0.999707
8.500000 39.500000 95.500000 -0.019348 -0.014563 0.999707
8.500000 39.500000 96.500000 0.019357 0.014571 -0.999706
8.500000 39.500000 97.500000 -0.019367 -0.014581 0.999706
8.500000 39.500000 98.500000 0.019377 0.014590 -0.999706
8.500000 39.500000 99.500000 -0.019388 -0.014600 0.999705
8.500000 39.500000 100.500000 0.019399 0.014610 -0.999705
8.500000 39.500000 101.500000 -0.019410 -0.014620 0.999705
8.500000 39.500000 102.500000 0.019421 0.014630 -0.999704
8.500000 39.500000 103.500000 -0.019433 -0.014641 0.999704
8.500000 39.500000 104.500000 0.019445 0.014652 -0.999704
8.500000 39.500000 105.500000 -0.019458 -0.014663 0.999703
8.500000 39.500000 106.500000 0.019470 0.014675 -0.999703
8.500000 39.500000 107.500000 -0.019482 -0.014686 0.999702
8.500000 39.500000 108.500000 0.019495 0.014698 -0.999702
8.500000 39.500000 109.500000 -0.019507 -0.014709 0.999701
8.500000 39.500000 110.500000 0.019518 0.014721 -0.999701
8.500000 39.500000 111.500000 -0.019529 -0.014732 0.999701
8.500000 39.500000 112.500000 0.019537 0.014743 -0.999700
8.500000 39.500000 113.500000 -0.019543 -0.014753 0.999700
8.500000 39.500000 114.500000 0.019546 0.014761 -0.999700
8.500000 39.500000 115.500000 -0.019542 -0.014767 0.999700
8.500000 39.500000 116.500000 0.019529 0.014770 -0.999700
8.500000 39.500000 117.500000 -0.019501 -0.014767 0.999701
8.500000 39.500000 118.500000 0.019448 0.014754 -0.999702
8.500000 39.500000 119.500000 -0.019344 -0.014710 0.999705
8.500000 40.500000 8.500000 -0.020330 -0.015085 0.999679
8.500000 40.500000 9.500000 0.020203 0.015016 -0.999683
8.500000 40.500000 10.500000 -0.020115 -0.014975 0.999685
8.500000 40.500000 11.500000 0.020048 0.014942 -0.999687
8.500000 40.500000 12.500000 -0.019995 -0.014914 0.999689
8.500000 40.500000 13.500000 0.019951 0.014889 -0.999690
8.500000 40.500000 14.500000 -0.019912 -0.014867 0.999691
8.500000 40.500000 15.500000 0.019879 0.014846 -0.999692
8.500000 40.500000 16.500000 -0.019848 -0.014827 0.999693
8.500000 40.500000 17.500000 0.019820 0.014809 -0.999694
8.500000 40.500000 18.500000 -0.019794 -0.014791 0.999695
8.500000 40.500000 19.500000 0.019769 0.014775 -0.999695
8.500000 40.500000 20.500000 -0.019746 -0.014759 0.999696
8.500000 40.500000 21.500000 0.019723 0.014744 -0.999697
8.500000 40.500000 22.500000 -0.019701 -0.014729 0.999697
8.500000 40.500000 23.500000 0.019680 0.014715 -0.999698
8.500000 40.500000 24.500000 -0.019659 -0.014701 0.999699
8.500000 40.500000 25.500000 0.019639 0.014687 -0.999699
8.500000 40.500000 26.500000 -0.019620 -0.014674 0.999700
8.500000 40.500000 27.500000 0.019601 0.014661 -0.999700
8.500000 40.500000 28.500000 -0.019582 -0.014649 0.999701
8.500000 40.500000 29.500000 0.019564 0.014637 -0.999701
8.500000 40.500000 30.500000 -0.019547 -0.014625 0.999702
8.500000 40.500000 31.500000 0.019530 0.014614 -0.999702
8.500000 40.500000 32.500000 -0.019513 -0.014603 0.999703
8.500000 40.500000 33.500000 0.019497 0.014593 -0.999703
8.500000 40.500000 34.500000 -0.019481 -0.014582 0.999704
8.500000 40.500000 35.500000 0.019466 0.014573 -0.999704
8.500000 40.500000 36.500000 -0.019451 -0.014563 0.999705
8.500000 40.500000 37.500000 0.019437 0.014554 -0.999705
8.500000 40.500000 38.500000 -0.019423 -0.014545 0.999706
8.500000 40.500000 39.500000 0.019410 0.014536 -0.999706
8.500000 40.500000 40.500000 -0.019397 -0.014528 0.999706
8.500000 40.500000 41.500000 0.019384 0.014520 -0.999707
8.500000 40.500000 42.500000 -0.019372 -0.014513 0.999707
8.500000 40.500000 43.500000 0.019361 0.014506 -0.999707
8.500000 40.500000 44.500000 -0.019350 -0.014499 0.999708
8.500000 40.500000 45.500000 0.019339 0.014492 -0.999708
8.500000 40.500000 46.500000 -0.019329 -0.014486 0.999708
8.500000 40.500000 47.500000 0.019319 0.014480 -0.999708
8.500000 40.500000 48.500000 -0.019309 -0.014475 0.999709
8.500000 40.500000 49.500000 0.019301 0.014469 -0.999709
8.500000 40.500000 50.500000 -0.019292 -0.014464 0.999709
8.500000 40.500000 51.500000 0.019284 0.014460 -0.999709
8.500000 40.500000 52.500000 -0.019276 -0.014455 0.999710
8.500000 40.500000 53.500000 0.019269 0.014451 -0.999710
8.500000 40.500000 54.500000 -0.019262 -0.014448 0.999710
8.500000 40.500000 55.500000 0.019256 0.014444 -0.999710
8.500000 40.500000 56.500000 -0.019250 -0.014441 0.999710
8.500000 40.500000 57.500000 0.019244 0.014439 -0.999711
8.500000 40.500000 58.500000 -0.019239 -0.014436 0.999711
8.500000 40.500000 59.500000 0.019234 0.014434 -0.999711
8.500000 40.500000 60.500000 -0.019230 -0.014432 0.999711
8.500000 40.500000 61.500000 0.019226 0.014431 -0.999711
8.500000 40.500000 62.500000 -0.019223 -0.014430 0.999711
8.500000 40.500000 63.500000 0.019220 0.014429 -0.999711
8.500000 40.500000 64.500000 -0.019217 -0.014428 0.999711
8.500000 40.500000 65.500000 0.019215 0.014428 -0.999711
8.500000 40.500000 66.500000 -0.019213 -0.014428 0.999711
8.500000 40.500000 67.500000 0.019211 0.014428 -0.999711
8.500000 40.500000 68.500000 -0.019210 -0.014429 0.999711
8.500000 40.500000 69.500000 0.019210 0.014430 -0.999711
8.500000 40.500000 70.500000 -0.019210 -0.014431 0.999711
8.500000 40.500000 71.500000 0.019210 0.014433 -0.999711
8.500000 40.500000 72.500000 -0.019210 -0.014434 0.999711
8.500000 40.500000 73.500000 0.019211 0.014437 -0.999711
8.500000 40.500000 74.500000 -0.019212 -0.014439 0.999711
8.500000 40.500000 75.500000 0.019214 0.014442 -0.999711
8.500000 40.500000 76.500000 -0.019216 -0.014445 0.999711
8.500000 40.500000 77.500000 0.019219 0.014448 -0.999711
8.500000 40.500000 78.500000 -0.019221 -0.014452 0.999711
8.500000 40.500000 79.500000 0.019225 0.014456 -0.999711
8.500000 40.500000 80.500000 -0.019228 -0.014460 0.999711
8.500000 40.500000 81.500000 0.019232 0.014465 -0.999710
8.500000 40.500000 82.500000 -0.019237 -0.014470 0.999710
8.500000 40.500000 83.500000 0.019241 0.014475 -0.999710
8.500000 40.500000 84.500000 -0.019246 -0.014480 0.999710
8.500000 40.500000 85.500000 0.019252 0.014486 -0.999710
8.500000 40.500000 86.500000 -0.019258 -0.014492 0.999709
8.500000 40.500000 87.500000 0.019264 0.014498 -0.999709
8.500000 40.500000 88.500000 -0.019271 -0.014505 0.999709
8.500000 40.500000 89.500000 0.019278 0.014512 -0.999709
8.500000 40.500000 90.500000 -0.019285 -0.014519 0.999709
8.500000 40.500000 91.500000 0.019293 0.014527 -0.999708
8.500000 40.500000 92.500000 -0.019301 -0.014534 0.999708
8.500000 40.500000 93.500000 0.019309 0.014543 -0.999708
8.500000 40.500000 94.500000 -0.019318 -0.014551 0.999707
8.500000 40.500000 95.500000 0.019327 0.014560 -0.999707
8.500000 40.500000 96.500000 -0.019336 -0.014569 0.999707
8.500000 40.500000 97.500000 0.019346 0.014578 -0.999707
8.500000 40.500000 98.500000 -0.019356 -0.014587 0.999706
8.500000 40.500000 99.500000 0.019367 0.014597 -0.999706
8.500000 40.500000 100.500000 -0.019378 -0.014607 0.999705
8.500000 40.500000 101.500000 0.019389 0.014617 -0.999705
8.500000 40.500000 102.500000 -0.019401 -0.014628 0.999705
8.500000 40.500000 103.500000 0.019413 0.014639 -0.999704
8.500000 40.500000 104.500000 -0.019425 -0.014650 0.999704
8.500000 40.500000 105.500000 0.019437 0.014661 -0.999704
8.500000 40.500000 106.500000 -0.019449 -0.014673 0.999703
8.500000 40.500000 107.500000 0.019462 0.014684 -0.999703
8.500000 40.500000 108.500000 -0.019474 -0.014696 0.999702
8.500000 40.500000 109.500000 0.019486 0.014708 -0.999702
8.500000 40.500000 110.500000 -0.019498 -0.014719 0.999701
