# t (s)	mx ()	my ()	mz ()	Ku1 (J/m3)
0	-0.006663874	0.78275317	3.2846273e-08	0
0	-1.4757559e-08	-1.7557543e-08	-6.648717e-05	0
0	-0.5102681	0.4190318	7.027409e-10	0
0	1.1356403e-08	1.9797529e-08	-1.3176392e-09	0
0	1.6865782e-09	-4.2164455e-10	-0.0019899802	0
0	5.9030235e-08	3.4862538e-07	-0.002949008	0
0	-3.1905691e-09	5.2258513e-09	-1.0541114e-09	0
0	-1.6552842e-09	1.6449901e-09	2.6352784e-10	0
0	-0.1564226	-0.15608457	0.44731146	100000
0	0	1.3176392e-10	-3.154163e-11	100000
0	0	1.7568523e-10	6.584979e-11	100000
0	9.105454e-05	-0.25541762	-0.00013770437	100000
0	1.475756e-09	7.37878e-10	2.8120466e-11	100000
0	-5.124619e-07	1.0171049e-06	0.9998748	100000
0	-4.0658583e-09	8.282304e-10	-4.6438144e-12	100000
0	-7.558323e-07	-9.633013e-07	-0.99989015	100000
0	-0.00016301424	0.11213905	0.4016974	200000
0	7.9058354e-10	1.0541114e-09	7.960512e-08	200000
0	-0.01448785	-0.014564192	-0.066480175	200000
0	-0.092511274	0.092489205	-0.4896752	200000
0	9.882294e-11	4.2164455e-10	3.9422217e-09	200000
0	0.030171992	0.08552729	-7.45826e-05	200000
0	-4.5176202e-10	9.0352403e-10	1.6965662e-11	200000
0	-6.588196e-10	9.223474e-10	-7.1995565e-12	200000
