# x_nm  y_nm  z_nm  mx  my  mz
8.500000 39.500000 16.500000 -0.199769 0.979822 -0.006447
8.500000 39.500000 17.500000 -0.199774 0.979821 -0.006467
8.500000 39.500000 18.500000 -0.199765 0.979822 -0.006502
8.500000 39.500000 19.500000 -0.199750 0.979825 -0.006547
8.500000 39.500000 20.500000 -0.199733 0.979828 -0.006602
8.500000 39.500000 21.500000 -0.199716 0.979831 -0.006663
8.500000 39.500000 22.500000 -0.199699 0.979834 -0.006730
8.500000 39.500000 23.500000 -0.199683 0.979837 -0.006800
8.500000 39.500000 24.500000 -0.199668 0.979839 -0.006872
8.500000 39.500000 25.500000 -0.199654 0.979842 -0.006946
8.500000 39.500000 26.500000 -0.199640 0.979844 -0.007022
8.500000 39.500000 27.500000 -0.199627 0.979846 -0.007098
8.500000 39.500000 28.500000 -0.199614 0.979848 -0.007174
8.500000 39.500000 29.500000 -0.199601 0.979850 -0.007250
8.500000 39.500000 30.500000 -0.199589 0.979852 -0.007325
8.500000 39.500000 31.500000 -0.199576 0.979854 -0.007400
8.500000 39.500000 32.500000 -0.199564 0.979856 -0.007473
8.500000 39.500000 33.500000 -0.199552 0.979858 -0.007546
8.500000 39.500000 34.500000 -0.199540 0.979860 -0.007617
8.500000 39.500000 35.500000 -0.199528 0.979862 -0.007687
8.500000 39.500000 36.500000 -0.199516 0.979864 -0.007755
8.500000 39.500000 37.500000 -0.199504 0.979866 -0.007821
8.500000 39.500000 38.500000 -0.199492 0.979868 -0.007886
8.500000 39.500000 39.500000 -0.199480 0.979870 -0.007948
8.500000 39.500000 40.500000 -0.199468 0.979872 -0.008009
8.500000 39.500000 41.500000 -0.199456 0.979874 -0.008068
8.500000 39.500000 42.500000 -0.199445 0.979876 -0.008124
8.500000 39.500000 43.500000 -0.199433 0.979877 -0.008178
8.500000 39.500000 44.500000 -0.199421 0.979879 -0.008230
8.500000 39.500000 45.500000 -0.199409 0.979881 -0.008280
8.500000 39.500000 46.500000 -0.199398 0.979883 -0.008327
8.500000 39.500000 47.500000 -0.199386 0.979885 -0.008372
8.500000 39.500000 48.500000 -0.199375 0.979887 -0.008415
8.500000 39.500000 49.500000 -0.199363 0.979889 -0.008455
8.500000 39.500000 50.500000 -0.199351 0.979891 -0.008492
8.500000 39.500000 51.500000 -0.199340 0.979893 -0.008527
8.500000 39.500000 52.500000 -0.199328 0.979895 -0.008559
8.500000 39.500000 53.500000 -0.199317 0.979897 -0.008589
8.500000 39.500000 54.500000 -0.199305 0.979900 -0.008616
8.500000 39.500000 55.500000 -0.199294 0.979902 -0.008640
8.500000 39.500000 56.500000 -0.199282 0.979904 -0.008662
8.500000 39.500000 57.500000 -0.199271 0.979906 -0.008681
8.500000 39.500000 58.500000 -0.199259 0.979908 -0.008697
8.500000 39.500000 59.500000 -0.199247 0.979910 -0.008711
8.500000 39.500000 60.500000 -0.199236 0.979913 -0.008722
8.500000 39.500000 61.500000 -0.199224 0.979915 -0.008730
8.500000 39.500000 62.500000 -0.199212 0.979917 -0.008736
8.500000 39.500000 63.500000 -0.199200 0.979920 -0.008738
8.500000 39.500000 64.500000 -0.199189 0.979922 -0.008738
8.500000 39.500000 65.500000 -0.199177 0.979925 -0.008736
8.500000 39.500000 66.500000 -0.199165 0.979927 -0.008730
8.500000 39.500000 67.500000 -0.199153 0.979930 -0.008722
8.500000 39.500000 68.500000 -0.199142 0.979932 -0.008711
8.500000 39.500000 69.500000 -0.199130 0.979935 -0.008697
8.500000 39.500000 70.500000 -0.199118 0.979937 -0.008681
8.500000 39.500000 71.500000 -0.199107 0.979939 -0.008662
8.500000 39.500000 72.500000 -0.199095 0.979942 -0.008640
8.500000 39.500000 73.500000 -0.199084 0.979945 -0.008616
8.500000 39.500000 74.500000 -0.199072 0.979947 -0.008589
8.500000 39.500000 75.500000 -0.199060 0.979950 -0.008559
8.500000 39.500000 76.500000 -0.199049 0.979953 -0.008527
8.500000 39.500000 77.500000 -0.199037 0.979955 -0.008492
8.500000 39.500000 78.500000 -0.199025 0.979958 -0.008455
8.500000 39.500000 79.500000 -0.199013 0.979961 -0.008415
8.500000 39.500000 80.500000 -0.199001 0.979963 -0.008373
8.500000 39.500000 81.500000 -0.198989 0.979966 -0.008328
8.500000 39.500000 82.500000 -0.198977 0.979969 -0.008281
8.500000 39.500000 83.500000 -0.198965 0.979972 -0.008231
8.500000 39.500000 84.500000 -0.198953 0.979975 -0.008179
8.500000 39.500000 85.500000 -0.198941 0.979978 -0.008125
8.500000 39.500000 86.500000 -0.198928 0.979981 -0.008069
