# t (s)	mx ()	my ()	mz ()	Ku1 (J/m3)
0	-0.66228753	-0.64112	2.313507e-06	0
0	0.16920027	-0.7036755	-0.0011464641	0
0	3.900212e-08	-8.257206e-08	-0.0012074541	0
0	1.7919893e-08	-1.2879923e-08	-0.0021201917	0
0	1.96908e-07	-5.541727e-07	0.004009712	0
0	-7.027409e-10	2.1082228e-08	-0.007838235	0
0	1.2046987e-09	3.7646832e-09	-0.018739706	0
0	0	1.3176392e-10	-0.150479	0
0	-0.000716181	-0.28520086	-0.00074252975	100000
0	0.027111607	-0.26483825	-0.083160244	100000
0	0.1423752	0.14160232	-0.44609162	100000
0	1.6230574e-07	-2.3321287e-07	-0.9998706	100000
0	9.932066e-08	-1.7973916e-07	-0.9998697	100000
0	2.6832376e-07	-4.5170317e-08	-0.9998748	100000
0	1.4900603e-07	-7.05737e-08	-0.99988216	100000
0	9.654564e-08	-7.484603e-08	-0.99989015	100000
0	-0.018654678	-0.19031985	-0.07118694	200000
0	0.017037977	-0.18557262	-0.067997776	200000
0	-0.08885286	0.070903845	-0.420869	200000
0	5.725155e-08	-4.539679e-08	-0.9999459	200000
0	2.171212e-08	-3.6058843e-08	-0.9999466	200000
0	4.081645e-08	-6.713097e-09	-0.999949	200000
0	2.1506636e-08	-1.1022875e-08	-0.99995244	200000
0	1.1125881e-08	-1.4694765e-08	-0.99995565	200000
