# x_nm  y_nm  z_nm  mx  my  mz
8.500000 39.500000 48.500000 0.202017 -0.979306 -0.012210
8.500000 39.500000 49.500000 0.202050 -0.979299 -0.012240
8.500000 39.500000 50.500000 0.202081 -0.979292 -0.012300
8.500000 39.500000 51.500000 0.202110 -0.979285 -0.012383
8.500000 39.500000 52.500000 0.202138 -0.979278 -0.012484
8.500000 39.500000 53.500000 0.202165 -0.979271 -0.012597
8.500000 39.500000 54.500000 0.202192 -0.979263 -0.012718
8.500000 39.500000 55.500000 0.202220 -0.979256 -0.012845
8.500000 39.500000 56.500000 0.202249 -0.979248 -0.012975
8.500000 39.500000 57.500000 0.202280 -0.979240 -0.013106
8.500000 39.500000 58.500000 0.202314 -0.979231 -0.013235
8.500000 39.500000 59.500000 0.202349 -0.979222 -0.013362
8.500000 39.500000 60.500000 0.202387 -0.979213 -0.013484
8.500000 39.500000 61.500000 0.202428 -0.979203 -0.013600
8.500000 39.500000 62.500000 0.202472 -0.979192 -0.013710
8.500000 39.500000 63.500000 0.202518 -0.979181 -0.013812
8.500000 39.500000 64.500000 0.202567 -0.979170 -0.013905
8.500000 39.500000 65.500000 0.202618 -0.979158 -0.013988
8.500000 39.500000 66.500000 0.202672 -0.979146 -0.014062
8.500000 39.500000 67.500000 0.202728 -0.979133 -0.014125
8.500000 39.500000 68.500000 0.202786 -0.979120 -0.014178
8.500000 39.500000 69.500000 0.202846 -0.979107 -0.014219
8.500000 39.500000 70.500000 0.202908 -0.979094 -0.014250
8.500000 39.500000 71.500000 0.202971 -0.979081 -0.014269
8.500000 39.500000 72.500000 0.203037 -0.979067 -0.014279
8.500000 39.500000 73.500000 0.203103 -0.979053 -0.014279
8.500000 39.500000 74.500000 0.203169 -0.979040 -0.014272
8.500000 39.500000 75.500000 0.203234 -0.979026 -0.014259
8.500000 39.500000 76.500000 0.203296 -0.979014 -0.014242
8.500000 39.500000 77.500000 0.203351 -0.979003 -0.014225
8.500000 39.500000 78.500000 0.203392 -0.978994 -0.014210
8.500000 39.500000 79.500000 0.203407 -0.978991 -0.014201
8.500000 40.500000 48.500000 0.189355 -0.981743 -0.018009
8.500000 40.500000 49.500000 0.189397 -0.981735 -0.018053
8.500000 40.500000 50.500000 0.189439 -0.981725 -0.018144
8.500000 40.500000 51.500000 0.189482 -0.981714 -0.018270
8.500000 40.500000 52.500000 0.189523 -0.981704 -0.018420
8.500000 40.500000 53.500000 0.189565 -0.981692 -0.018588
8.500000 40.500000 54.500000 0.189607 -0.981681 -0.018768
8.500000 40.500000 55.500000 0.189651 -0.981668 -0.018956
8.500000 40.500000 56.500000 0.189698 -0.981656 -0.019148
8.500000 40.500000 57.500000 0.189747 -0.981643 -0.019340
8.500000 40.500000 58.500000 0.189800 -0.981629 -0.019531
8.500000 40.500000 59.500000 0.189856 -0.981614 -0.019716
8.500000 40.500000 60.500000 0.189917 -0.981599 -0.019896
8.500000 40.500000 61.500000 0.189981 -0.981583 -0.020067
8.500000 40.500000 62.500000 0.190050 -0.981566 -0.020228
8.500000 40.500000 63.500000 0.190123 -0.981549 -0.020378
8.500000 40.500000 64.500000 0.190200 -0.981531 -0.020515
8.500000 40.500000 65.500000 0.190280 -0.981513 -0.020639
8.500000 40.500000 66.500000 0.190365 -0.981494 -0.020748
8.500000 40.500000 67.500000 0.190452 -0.981475 -0.020842
8.500000 40.500000 68.500000 0.190543 -0.981456 -0.020921
8.500000 40.500000 69.500000 0.190637 -0.981436 -0.020983
8.500000 40.500000 70.500000 0.190733 -0.981417 -0.021030
8.500000 40.500000 71.500000 0.190832 -0.981397 -0.021061
8.500000 40.500000 72.500000 0.190932 -0.981377 -0.021077
8.500000 40.500000 73.500000 0.191034 -0.981357 -0.021079
8.500000 40.500000 74.500000 0.191136 -0.981337 -0.021070
8.500000 40.500000 75.500000 0.191237 -0.981318 -0.021052
8.500000 40.500000 76.500000 0.191333 -0.981300 -0.021028
8.500000 40.500000 77.500000 0.191420 -0.981283 -0.021003
8.500000 40.500000 78.500000 0.191489 -0.981270 -0.020980
8.500000 40.500000 79.500000 0.191525 -0.981264 -0.020961
8.500000 41.500000 48.500000 0.171553 -0.984828 -0.026133
8.500000 41.500000 49.500000 0.171596 -0.984819 -0.026202
8.500000 41.500000 50.500000 0.171650 -0.984806 -0.026338
8.500000 41.500000 51.500000 0.171708 -0.984791 -0.026523
8.500000 41.500000 52.500000 0.171767 -0.984774 -0.026744
8.500000 41.500000 53.500000 0.171828 -0.984757 -0.026989
8.500000 41.500000 54.500000 0.171891 -0.984739 -0.027252
8.500000 41.500000 55.500000 0.171956 -0.984720 -0.027525
8.500000 41.500000 56.500000 0.172026 -0.984700 -0.027804
8.500000 41.500000 57.500000 0.172100 -0.984679 -0.028083
8.500000 41.500000 58.500000 0.172179 -0.984657 -0.028358
8.500000 41.500000 59.500000 0.172265 -0.984635 -0.028628
8.500000 41.500000 60.500000 0.172356 -0.984611 -0.028887
8.500000 41.500000 61.500000 0.172454 -0.984587 -0.029135
8.500000 41.500000 62.500000 0.172557 -0.984562 -0.029369
8.500000 41.500000 63.500000 0.172667 -0.984536 -0.029586
8.500000 41.500000 64.500000 0.172783 -0.984510 -0.029785
8.500000 41.500000 65.500000 0.172904 -0.984483 -0.029965
8.500000 41.500000 66.500000 0.173031 -0.984456 -0.030124
8.500000 41.500000 67.500000 0.173162 -0.984428 -0.030261
8.500000 41.500000 68.500000 0.173298 -0.984401 -0.030376
8.500000 41.500000 69.500000 0.173439 -0.984373 -0.030468
8.500000 41.500000 70.500000 0.173583 -0.984346 -0.030537
8.500000 41.500000 71.500000 0.173730 -0.984318 -0.030583
8.500000 41.500000 72.500000 0.173880 -0.984291 -0.030608
8.500000 41.500000 73.500000 0.174031 -0.984264 -0.030613
8.500000 41.500000 74.500000 0.174183 -0.984238 -0.030601
8.500000 41.500000 75.500000 0.174332 -0.984212 -0.030575
8.500000 41.500000 76.500000 0.174476 -0.984188 -0.030540
8.500000 41.500000 77.500000 0.174609 -0.984165 -0.030501
8.500000 41.500000 78.500000 0.174720 -0.984147 -0.030465
8.500000 41.500000 79.500000 0.174790 -0.984135 -0.030436
8.500000 42.500000 48.500000 0.151232 -0.987863 -0.035432
8.500000 42.500000 49.500000 0.151277 -0.987853 -0.035531
8.500000 42.500000 50.500000 0.151343 -0.987836 -0.035719
8.500000 42.500000 51.500000 0.151417 -0.987815 -0.035973
8.500000 42.500000 52.500000 0.151495 -0.987792 -0.036275
8.500000 42.500000 53.500000 0.151575 -0.987767 -0.036610
8.500000 42.500000 54.500000 0.151660 -0.987741 -0.036968
8.500000 42.500000 55.500000 0.151749 -0.987713 -0.037339
8.500000 42.500000 56.500000 0.151844 -0.987684 -0.037717
8.500000 42.500000 57.500000 0.151946 -0.987654 -0.038095
8.500000 42.500000 58.500000 0.152056 -0.987623 -0.038469
8.500000 42.500000 59.500000 0.152173 -0.987591 -0.038834
8.500000 42.500000 60.500000 0.152300 -0.987557 -0.039186
8.500000 42.500000 61.500000 0.152434 -0.987523 -0.039522
8.500000 42.500000 62.500000 0.152578 -0.987488 -0.039838
8.500000 42.500000 63.500000 0.152729 -0.987453 -0.040133
8.500000 42.500000 64.500000 0.152889 -0.987417 -0.040403
8.500000 42.500000 65.500000 0.153057 -0.987381 -0.040647
8.500000 42.500000 66.500000 0.153231 -0.987345 -0.040863
8.500000 42.500000 67.500000 0.153413 -0.987309 -0.041050
8.500000 42.500000 68.500000 0.153600 -0.987274 -0.041206
8.500000 42.500000 69.500000 0.153793 -0.987238 -0.041331
8.500000 42.500000 70.500000 0.153991 -0.987203 -0.041426
8.500000 42.500000 71.500000 0.154194 -0.987169 -0.041489
8.500000 42.500000 72.500000 0.154399 -0.987136 -0.041524
8.500000 42.500000 73.500000 0.154607 -0.987103 -0.041532
8.500000 42.500000 74.500000 0.154814 -0.987071 -0.041516
8.500000 42.500000 75.500000 0.155019 -0.987040 -0.041480
8.500000 42.500000 76.500000 0.155217 -0.987011 -0.041431
8.500000 42.500000 77.500000 0.155402 -0.986985 -0.041376
8.500000 42.500000 78.500000 0.155559 -0.986962 -0.041322
8.500000 42.500000 79.500000 0.155668 -0.986947 -0.041278
8.500000 43.500000 48.500000 0.129463 -0.990542 -0.045444
8.500000 43.500000 49.500000 0.129513 -0.990530 -0.045581
8.500000 43.500000 50.500000 0.129590 -0.990508 -0.045830
8.500000 43.500000 51.500000 0.129680 -0.990481 -0.046160
8.500000 43.500000 52.500000 0.129777 -0.990450 -0.046551
8.500000 43.500000 53.500000 0.129879 -0.990416 -0.046983
8.500000 43.500000 54.500000 0.129987 -0.990380 -0.047444
8.500000 43.500000 55.500000 0.130101 -0.990342 -0.047921
8.500000 43.500000 56.500000 0.130223 -0.990302 -0.048407
8.500000 43.500000 57.500000 0.130355 -0.990261 -0.048893
8.500000 43.500000 58.500000 0.130496 -0.990219 -0.049372
8.500000 43.500000 59.500000 0.130648 -0.990175 -0.049840
8.500000 43.500000 60.500000 0.130811 -0.990131 -0.050292
8.500000 43.500000 61.500000 0.130986 -0.990086 -0.050722
8.500000 43.500000 62.500000 0.131172 -0.990040 -0.051128
8.500000 43.500000 63.500000 0.131368 -0.989995 -0.051506
8.500000 43.500000 64.500000 0.131575 -0.989949 -0.051853
8.500000 43.500000 65.500000 0.131792 -0.989904 -0.052167
8.500000 43.500000 66.500000 0.132019 -0.989859 -0.052444
8.500000 43.500000 67.500000 0.132253 -0.989815 -0.052684
8.500000 43.500000 68.500000 0.132496 -0.989772 -0.052886
8.500000 43.500000 69.500000 0.132746 -0.989730 -0.053047
8.500000 43.500000 70.500000 0.133002 -0.989689 -0.053169
8.500000 43.500000 71.500000 0.133263 -0.989649 -0.053252
8.500000 43.500000 72.500000 0.133528 -0.989611 -0.053297
8.500000 43.500000 73.500000 0.133795 -0.989574 -0.053308
8.500000 43.500000 74.500000 0.134062 -0.989539 -0.053287
8.500000 43.500000 75.500000 0.134326 -0.989506 -0.053241
8.500000 43.500000 76.500000 0.134581 -0.989475 -0.053177
8.500000 43.500000 77.500000 0.134819 -0.989446 -0.053103
8.500000 43.500000 78.500000 0.135025 -0.989422 -0.053032
8.500000 43.500000 79.500000 0.135170 -0.989405 -0.052975
8.500000 44.500000 48.500000 0.106779 -0.992707 -0.055956
8.500000 44.500000 49.500000 0.106836 -0.992691 -0.056139
8.500000 44.500000 50.500000 0.106928 -0.992663 -0.056454
8.500000 44.500000 51.500000 0.107036 -0.992627 -0.056868
8.500000 44.500000 52.500000 0.107153 -0.992587 -0.057353
8.500000 44.500000 53.500000 0.107277 -0.992542 -0.057888
8.500000 44.500000 54.500000 0.107409 -0.992495 -0.058457
8.500000 44.500000 55.500000 0.107549 -0.992445 -0.059047
8.500000 44.500000 56.500000 0.107699 -0.992393 -0.059646
8.500000 44.500000 57.500000 0.107861 -0.992339 -0.060245
8.500000 44.500000 58.500000 0.108036 -0.992284 -0.060836
8.500000 44.500000 59.500000 0.108224 -0.992228 -0.061413
8.500000 44.500000 60.500000 0.108427 -0.992171 -0.061969
8.500000 44.500000 61.500000 0.108643 -0.992114 -0.062500
8.500000 44.500000 62.500000 0.108873 -0.992057 -0.063000
8.500000 44.500000 63.500000 0.109117 -0.992001 -0.063466
8.500000 44.500000 64.500000 0.109374 -0.991945 -0.063894
8.500000 44.500000 65.500000 0.109643 -0.991890 -0.064280
8.500000 44.500000 66.500000 0.109924 -0.991837 -0.064623
8.500000 44.500000 67.500000 0.110215 -0.991785 -0.064919
8.500000 44.500000 68.500000 0.110516 -0.991736 -0.065168
8.500000 44.500000 69.500000 0.110825 -0.991688 -0.065368
8.500000 44.500000 70.500000 0.111141 -0.991642 -0.065519
8.500000 44.500000 71.500000 0.111464 -0.991599 -0.065622
8.500000 44.500000 72.500000 0.111791 -0.991559 -0.065679
8.500000 44.500000 73.500000 0.112121 -0.991521 -0.065693
8.500000 44.500000 74.500000 0.112450 -0.991485 -0.065668
8.500000 44.500000 75.500000 0.112775 -0.991452 -0.065611
8.500000 44.500000 76.500000 0.113089 -0.991421 -0.065532
8.500000 44.500000 77.500000 0.113381 -0.991394 -0.065440
8.500000 44.500000 78.500000 0.113633 -0.991371 -0.065352
8.500000 44.500000 79.500000 0.113812 -0.991355 -0.065285
8.500000 45.500000 48.500000 0.083503 -0.994262 -0.066857
8.500000 45.500000 49.500000 0.083573 -0.994241 -0.067083
8.500000 45.500000 50.500000 0.083682 -0.994206 -0.067468
8.500000 45.500000 51.500000 0.083810 -0.994161 -0.067968
8.500000 45.500000 52.500000 0.083949 -0.994109 -0.068553
8.500000 45.500000 53.500000 0.084096 -0.994052 -0.069196
8.500000 45.500000 54.500000 0.084253 -0.993991 -0.069878
8.500000 45.500000 55.500000 0.084420 -0.993927 -0.070585
8.500000 45.500000 56.500000 0.084600 -0.993861 -0.071301
8.500000 45.500000 57.500000 0.084794 -0.993792 -0.072018
8.500000 45.500000 58.500000 0.085004 -0.993723 -0.072725
8.500000 45.500000 59.500000 0.085231 -0.993653 -0.073414
8.500000 45.500000 60.500000 0.085474 -0.993583 -0.074079
8.500000 45.500000 61.500000 0.085734 -0.993513 -0.074713
8.500000 45.500000 62.500000 0.086011 -0.993444 -0.075312
8.500000 45.500000 63.500000 0.086304 -0.993376 -0.075869
8.500000 45.500000 64.500000 0.086613 -0.993310 -0.076381
8.500000 45.500000 65.500000 0.086936 -0.993246 -0.076843
8.500000 45.500000 66.500000 0.087273 -0.993184 -0.077254
8.500000 45.500000 67.500000 0.087623 -0.993126 -0.077609
8.500000 45.500000 68.500000 0.087984 -0.993071 -0.077907
8.500000 45.500000 69.500000 0.088355 -0.993019 -0.078148
8.500000 45.500000 70.500000 0.088735 -0.992971 -0.078330
8.500000 45.500000 71.500000 0.089122 -0.992926 -0.078455
8.500000 45.500000 72.500000 0.089513 -0.992885 -0.078524
8.500000 45.500000 73.500000 0.089908 -0.992848 -0.078542
8.500000 45.500000 74.500000 0.090301 -0.992815 -0.078513
8.500000 45.500000 75.500000 0.090688 -0.992785 -0.078447
8.500000 45.500000 76.500000 0.091061 -0.992758 -0.078353
8.500000 45.500000 77.500000 0.091408 -0.992735 -0.078244
8.500000 45.500000 78.500000 0.091706 -0.992716 -0.078138
8.500000 45.500000 79.500000 0.091915 -0.992703 -0.078057
8.500000 46.500000 48.500000 0.059878 -0.995149 -0.078061
8.500000 46.500000 49.500000 0.059965 -0.995122 -0.078337
8.500000 46.500000 50.500000 0.060095 -0.995078 -0.078795
8.500000 46.500000 51.500000 0.060246 -0.995022 -0.079386
8.500000 46.500000 52.500000 0.060409 -0.994957 -0.080073
8.500000 46.500000 53.500000 0.060582 -0.994885 -0.080827
8.500000 46.500000 54.500000 0.060765 -0.994809 -0.081626
8.500000 46.500000 55.500000 0.060962 -0.994729 -0.082452
8.500000 46.500000 56.500000 0.061173 -0.994646 -0.083290
8.500000 46.500000 57.500000 0.061402 -0.994561 -0.084128
8.500000 46.500000 58.500000 0.061648 -0.994476 -0.084954
8.500000 46.500000 59.500000 0.061915 -0.994390 -0.085759
8.500000 46.500000 60.500000 0.062201 -0.994305 -0.086536
8.500000 46.500000 61.500000 0.062506 -0.994221 -0.087278
8.500000 46.500000 62.500000 0.062832 -0.994139 -0.087977
8.500000 46.500000 63.500000 0.063177 -0.994059 -0.088628
8.500000 46.500000 64.500000 0.063539 -0.993983 -0.089227
8.500000 46.500000 65.500000 0.063919 -0.993909 -0.089768
8.500000 46.500000 66.500000 0.064315 -0.993840 -0.090248
8.500000 46.500000 67.500000 0.064726 -0.993776 -0.090665
8.500000 46.500000 68.500000 0.065150 -0.993716 -0.091015
8.500000 46.500000 69.500000 0.065585 -0.993662 -0.091297
8.500000 46.500000 70.500000 0.066030 -0.993612 -0.091512
8.500000 46.500000 71.500000 0.066484 -0.993569 -0.091660
8.500000 46.500000 72.500000 0.066942 -0.993530 -0.091743
8.500000 46.500000 73.500000 0.067403 -0.993497 -0.091766
8.500000 46.500000 74.500000 0.067863 -0.993468 -0.091736
8.500000 46.500000 75.500000 0.068314 -0.993444 -0.091661
8.500000 46.500000 76.500000 0.068748 -0.993424 -0.091554
8.500000 46.500000 77.500000 0.069149 -0.993408 -0.091429
8.500000 46.500000 78.500000 0.069492 -0.993395 -0.091308
8.500000 46.500000 79.500000 0.069728 -0.993387 -0.091214
8.500000 47.500000 48.500000 0.036101 -0.995334 -0.089479
8.500000 47.500000 49.500000 0.036208 -0.995301 -0.089805
8.500000 47.500000 50.500000 0.036363 -0.995247 -0.090338
8.500000 47.500000 51.500000 0.036539 -0.995178 -0.091021
8.500000 47.500000 52.500000 0.036729 -0.995099 -0.091813
