# x_nm  y_nm  z_nm  mx  my  mz
8.500000 39.500000 0.500000 0.397369 0.240974 0.885454
8.500000 39.500000 1.500000 0.395758 0.240810 0.886220
8.500000 39.500000 2.500000 0.393160 0.240502 0.887459
8.500000 39.500000 3.500000 0.390049 0.240121 0.888934
8.500000 39.500000 4.500000 0.386738 0.239731 0.890485
8.500000 39.500000 5.500000 0.383436 0.239384 0.892004
8.500000 39.500000 6.500000 0.380292 0.239122 0.893420
8.500000 39.500000 7.500000 0.377408 0.238976 0.894681
8.500000 39.500000 8.500000 0.374856 0.238973 0.895754
8.500000 39.500000 9.500000 0.372688 0.239132 0.896615
8.500000 39.500000 10.500000 0.370939 0.239468 0.897251
8.500000 39.500000 11.500000 0.369632 0.239992 0.897650
8.500000 39.500000 12.500000 0.368783 0.240711 0.897807
8.500000 39.500000 13.500000 0.368399 0.241631 0.897717
8.500000 39.500000 14.500000 0.368481 0.242753 0.897381
8.500000 39.500000 15.500000 0.369023 0.244076 0.896799
8.500000 39.500000 16.500000 0.370017 0.245599 0.895974
8.500000 39.500000 17.500000 0.371443 0.247315 0.894911
8.500000 39.500000 18.500000 0.373281 0.249216 0.893618
8.500000 39.500000 19.500000 0.375499 0.251291 0.892106
8.500000 39.500000 20.500000 0.378059 0.253526 0.890391
8.500000 39.500000 21.500000 0.380912 0.255903 0.888493
8.500000 39.500000 22.500000 0.384000 0.258397 0.886440
8.500000 39.500000 23.500000 0.387249 0.260981 0.884267
8.500000 39.500000 24.500000 0.390571 0.263617 0.882021
8.500000 39.500000 25.500000 0.393861 0.266261 0.879761
8.500000 39.500000 26.500000 0.396994 0.268855 0.877561
8.500000 39.500000 27.500000 0.399830 0.271328 0.875510
8.500000 39.500000 28.500000 0.402209 0.273589 0.873715
8.500000 39.500000 29.500000 0.403971 0.275522 0.872293
8.500000 39.500000 30.500000 0.404976 0.276981 0.871365
8.500000 39.500000 31.500000 0.405204 0.277783 0.871003
8.500000 40.500000 0.500000 0.394438 0.254790 0.882893
8.500000 40.500000 1.500000 0.392762 0.254640 0.883684
8.500000 40.500000 2.500000 0.390121 0.254375 0.884929
8.500000 40.500000 3.500000 0.386984 0.254055 0.886397
8.500000 40.500000 4.500000 0.383655 0.253737 0.887934
8.500000 40.500000 5.500000 0.380340 0.253469 0.889435
8.500000 40.500000 6.500000 0.377184 0.253292 0.890828
8.500000 40.500000 7.500000 0.374288 0.253238 0.892065
8.500000 40.500000 8.500000 0.371722 0.253331 0.893110
8.500000 40.500000 9.500000 0.369537 0.253591 0.893943
8.500000 40.500000 10.500000 0.367768 0.254033 0.894547
8.500000 40.500000 11.500000 0.366437 0.254668 0.894912
8.500000 40.500000 12.500000 0.365561 0.255504 0.895032
