# x_nm  y_nm  z_nm  mx  my  mz
8.500000 39.500000 0.500000 -0.437559 0.750850 -0.494740
8.500000 39.500000 1.500000 0.502619 -0.861733 0.069211
8.500000 39.500000 2.500000 -0.307157 0.191173 0.932260
8.500000 39.500000 3.500000 -0.686718 -0.578655 -0.439974
8.500000 39.500000 4.500000 0.567810 0.795739 0.210691
8.500000 39.500000 5.500000 -0.645034 0.223630 -0.730699
8.500000 39.500000 6.500000 0.399935 0.915709 -0.039104
8.500000 39.500000 7.500000 -0.051832 0.194212 0.979589
8.500000 39.500000 8.500000 0.799297 -0.599417 0.042705
8.500000 39.500000 9.500000 -0.381545 -0.891876 -0.242859
8.500000 39.500000 10.500000 -0.551541 -0.778940 -0.298421
8.500000 39.500000 11.500000 0.628710 -0.427536 -0.649567
8.500000 39.500000 12.500000 0.079324 -0.914958 -0.395676
8.500000 39.500000 13.500000 -0.164095 0.973933 0.156610
8.500000 39.500000 14.500000 0.194046 -0.720066 0.666222
8.500000 39.500000 15.500000 0.588356 -0.101845 -0.802163
8.500000 39.500000 16.500000 -0.935519 -0.232880 0.265652
8.500000 39.500000 17.500000 0.692177 -0.113975 -0.712671
8.500000 39.500000 18.500000 -0.161485 -0.842754 0.513506
8.500000 39.500000 19.500000 -0.670571 0.721940 0.170696
8.500000 39.500000 20.500000 -0.996709 0.063538 0.050348
8.500000 39.500000 21.500000 -0.469876 0.560710 0.681778
8.500000 39.500000 22.500000 -0.932354 0.294478 -0.209758
8.500000 39.500000 23.500000 -0.560403 -0.342699 -0.753993
8.500000 39.500000 24.500000 -0.776073 0.245373 0.580950
8.500000 39.500000 25.500000 -0.442784 0.410712 0.797031
8.500000 39.500000 26.500000 0.461103 0.845131 -0.270441
8.500000 39.500000 27.500000 -0.732438 0.678724 -0.053550
8.500000 39.500000 28.500000 0.155517 -0.624201 0.765629
8.500000 39.500000 29.500000 0.026468 -0.461007 0.887002
8.500000 39.500000 30.500000 0.062825 0.863912 -0.499709
8.500000 39.500000 31.500000 -0.181510 -0.925374 0.332771
8.500000 39.500000 32.500000 -0.991875 0.126392 0.014435
8.500000 39.500000 33.500000 0.575625 0.606423 0.548550
8.500000 39.500000 34.500000 -0.807814 -0.210790 0.550458
8.500000 39.500000 35.500000 0.167211 0.937275 0.305870
8.500000 39.500000 36.500000 0.593725 0.220510 0.773865
8.500000 39.500000 37.500000 0.580528 -0.676469 -0.453185
8.500000 39.500000 38.500000 0.482752 0.807032 -0.340073
8.500000 39.500000 39.500000 0.538429 0.168341 -0.825685
8.500000 39.500000 40.500000 0.821813 0.190489 -0.536971
8.500000 39.500000 41.500000 -0.495756 -0.270477 -0.825269
8.500000 39.500000 42.500000 0.002651 -0.735032 0.678028
8.500000 39.500000 43.500000 -0.776389 -0.626142 -0.071877
