# t (s)	mx ()	my ()	mz ()	Dind (J/m2)	B_extx (T)	B_exty (T)	B_extz (T)
0	2.2882407e-10	1.1961172e-09	-1	0	0	0	0
0	4.4316015e-10	6.648675e-10	1	0	0	0	0.10807081
0	-1.1727866e-10	5.7899126e-11	1	0	0	0	0.21614163
0	3.4181305e-10	1.8125994e-10	1	0	0	0	0.32421243
0	2.0863804e-10	1.1733227e-10	1	0	0	0	0.43228325
0	2.2194704e-11	1.9945606e-10	1	0	0	0	0.54035383
0	-2.8407986e-11	2.4184355e-10	1	0	0	0	0.64842486
0	-9.685135e-13	3.966927e-12	1	0	0	0	0.7564956
0	1.1864165e-11	6.6171325e-11	1	0	0	0	0.8645665
0	7.4694695e-12	5.216334e-11	1	0	0	0	0.97263706
0	2.9318757e-12	2.6635633e-11	1	0	0	0	1.0807077
0	1.7792431e-10	1.0675458e-09	-0.99984986	0.0003	0	0	0
0	5.36553e-10	1.3344323e-10	0.99985486	0.0003	0	0	0.10807081
0	2.3352567e-10	1.7792431e-10	0.99985933	0.0003	0	0	0.21614163
0	2.47426e-10	4.448108e-11	0.9998636	0.0003	0	0	0.32421243
0	3.7808917e-10	0	0.9998676	0.0003	0	0	0.43228325
0	-1.362233e-10	0	0.9998714	0.0003	0	0	0.54035383
0	-1.9460472e-10	-2.0016486e-10	0.999875	0.0003	0	0	0.64842486
0	-2.1406518e-10	2.4464594e-10	0.9998783	0.0003	0	0	0.7564956
0	-1.7792431e-10	4.003297e-10	0.99988157	0.0003	0	0	0.8645665
0	-2.4464594e-10	2.4464594e-10	0.99988467	0.0003	0	0	0.97263706
0	-2.1406518e-10	4.003297e-10	0.9998874	0.0003	0	0	1.0807077
0	3.6140876e-10	8.896216e-11	-0.99940085	0.0006	0	0	0
0	-3.669689e-10	0	0.9994205	0.0006	0	0	0.10807081
0	8.284601e-10	-3.5584863e-10	0.99943876	0.0006	0	0	0.21614163
0	-3.8920943e-11	2.6688646e-10	0.99945563	0.0006	0	0	0.32421243
0	5.0041214e-11	8.896216e-11	0.99947166	0.0006	0	0	0.43228325
0	-6.1161486e-11	3.5584863e-10	0.99948686	0.0006	0	0	0.54035383
0	-3.9476958e-10	0	0.9995008	0.0006	0	0	0.64842486
0	-6.060547e-10	4.4481077e-10	0.9995143	0.0006	0	0	0.7564956
0	8.340202e-11	4.892919e-10	0.99952704	0.0006	0	0	0.8645665
0	-2.724466e-10	2.6688646e-10	0.9995391	0.0006	0	0	0.97263706
0	-4.837317e-10	7.5617834e-10	0.9995507	0.0006	0	0	1.0807077
0	1.3900336e-10	-2.846789e-09	-0.9986576	0.0009000002	0	0	0
0	-1.05642564e-10	0	0.99870133	0.0009000002	0	0	0.10807081
0	2.718906e-09	-1.6013189e-09	0.9987421	0.0009000002	0	0	0.21614163
0	-3.3360807e-11	5.337729e-10	0.99878	0.0009000002	0	0	0.32421243
0	-8.340202e-11	8.896216e-11	0.9988157	0.0009000002	0	0	0.43228325
0	-2.4464594e-10	4.4481077e-10	0.9988493	0.0009000002	0	0	0.54035383
0	7.228175e-11	0	0.998881	0.0009000002	0	0	0.64842486
