# x_nm  y_nm  z_nm  mx  my  mz
8.500000 39.500000 24.500000 0.028303 0.358990 0.932912
8.500000 39.500000 25.500000 0.011003 0.360139 0.932834
8.500000 39.500000 26.500000 -0.003642 0.360430 0.932779
8.500000 39.500000 27.500000 -0.016044 0.359998 0.932815
8.500000 39.500000 28.500000 -0.026555 0.359028 0.932949
8.500000 39.500000 29.500000 -0.035475 0.357679 0.933170
8.500000 39.500000 30.500000 -0.043057 0.356075 0.933465
8.500000 39.500000 31.500000 -0.049512 0.354308 0.933817
8.500000 39.500000 32.500000 -0.055018 0.352444 0.934214
8.500000 39.500000 33.500000 -0.059720 0.350534 0.934644
8.500000 39.500000 34.500000 -0.063741 0.348614 0.935097
8.500000 39.500000 35.500000 -0.067183 0.346711 0.935563
8.500000 39.500000 36.500000 -0.070129 0.344848 0.936035
8.500000 39.500000 37.500000 -0.072653 0.343038 0.936508
8.500000 39.500000 38.500000 -0.074813 0.341294 0.936975
8.500000 39.500000 39.500000 -0.076663 0.339623 0.937432
8.500000 39.500000 40.500000 -0.078245 0.338032 0.937876
8.500000 39.500000 41.500000 -0.079599 0.336525 0.938304
8.500000 39.500000 42.500000 -0.080756 0.335103 0.938714
8.500000 39.500000 43.500000 -0.081746 0.333769 0.939104
8.500000 39.500000 44.500000 -0.082593 0.332520 0.939473
8.500000 39.500000 45.500000 -0.083319 0.331358 0.939819
8.500000 39.500000 46.500000 -0.083942 0.330279 0.940143
8.500000 39.500000 47.500000 -0.084478 0.329282 0.940445
8.500000 39.500000 48.500000 -0.084943 0.328363 0.940725
8.500000 39.500000 49.500000 -0.085347 0.327519 0.940982
8.500000 39.500000 50.500000 -0.085701 0.326748 0.941218
8.500000 39.500000 51.500000 -0.086015 0.326046 0.941432
8.500000 39.500000 52.500000 -0.086296 0.325410 0.941627
8.500000 39.500000 53.500000 -0.086551 0.324836 0.941802
8.500000 39.500000 54.500000 -0.086785 0.324322 0.941957
8.500000 39.500000 55.500000 -0.087004 0.323864 0.942095
8.500000 39.500000 56.500000 -0.087211 0.323459 0.942215
8.500000 39.500000 57.500000 -0.087411 0.323105 0.942318
8.500000 39.500000 58.500000 -0.087605 0.322800 0.942404
8.500000 39.500000 59.500000 -0.087796 0.322541 0.942475
8.500000 39.500000 60.500000 -0.087988 0.322328 0.942530
8.500000 39.500000 61.500000 -0.088181 0.322157 0.942570
8.500000 39.500000 62.500000 -0.088378 0.322029 0.942596
8.500000 39.500000 63.500000 -0.088580 0.321942 0.942606
8.500000 39.500000 64.500000 -0.088789 0.321896 0.942603
8.500000 39.500000 65.500000 -0.089007 0.321889 0.942584
8.500000 39.500000 66.500000 -0.089234 0.321923 0.942551
8.500000 39.500000 67.500000 -0.089474 0.321997 0.942503
8.500000 39.500000 68.500000 -0.089729 0.322111 0.942440
8.500000 39.500000 69.500000 -0.089999 0.322267 0.942361
8.500000 39.500000 70.500000 -0.090289 0.322464 0.942266
8.500000 39.500000 71.500000 -0.090602 0.322703 0.942154
8.500000 39.500000 72.500000 -0.090940 0.322986 0.942024
8.500000 39.500000 73.500000 -0.091308 0.323313 0.941877
8.500000 39.500000 74.500000 -0.091711 0.323685 0.941710
8.500000 39.500000 75.500000 -0.092154 0.324103 0.941523
8.500000 39.500000 76.500000 -0.092643 0.324568 0.941314
8.500000 39.500000 77.500000 -0.093186 0.325080 0.941084
8.500000 39.500000 78.500000 -0.093791 0.325638 0.940831
8.500000 39.500000 79.500000 -0.094468 0.326243 0.940554
8.500000 39.500000 80.500000 -0.095226 0.326894 0.940251
8.500000 39.500000 81.500000 -0.096079 0.327587 0.939923
8.500000 39.500000 82.500000 -0.097039 0.328322 0.939568
8.500000 39.500000 83.500000 -0.098123 0.329092 0.939186
8.500000 39.500000 84.500000 -0.099347 0.329895 0.938776
8.500000 39.500000 85.500000 -0.100733 0.330721 0.938337
8.500000 39.500000 86.500000 -0.102303 0.331562 0.937871
8.500000 39.500000 87.500000 -0.104081 0.332406 0.937376
8.500000 39.500000 88.500000 -0.106098 0.333240 0.936854
8.500000 39.500000 89.500000 -0.108387 0.334045 0.936305
8.500000 39.500000 90.500000 -0.110986 0.334800 0.935730
8.500000 39.500000 91.500000 -0.113939 0.335479 0.935132
8.500000 39.500000 92.500000 -0.117297 0.336049 0.934512
8.500000 39.500000 93.500000 -0.121122 0.336469 0.933873
8.500000 39.500000 94.500000 -0.125484 0.336691 0.933217
8.500000 39.500000 95.500000 -0.130467 0.336652 0.932547
8.500000 39.500000 96.500000 -0.136172 0.336273 0.931868
8.500000 39.500000 97.500000 -0.142716 0.335455 0.931183
8.500000 39.500000 98.500000 -0.150240 0.334069 0.930498
8.500000 39.500000 99.500000 -0.158907 0.331946 0.929818
8.500000 39.500000 100.500000 -0.168908 0.328860 0.929151
8.500000 39.500000 101.500000 -0.180455 0.324506 0.928510
8.500000 39.500000 102.500000 -0.193785 0.318447 0.927922
8.500000 39.500000 103.500000 -0.209133 0.310003 0.927449
8.500000 40.500000 24.500000 0.054982 0.352946 0.934027
8.500000 40.500000 25.500000 0.037903 0.354633 0.934237
8.500000 40.500000 26.500000 0.023419 0.355211 0.934493
8.500000 40.500000 27.500000 0.011141 0.354978 0.934808
8.500000 40.500000 28.500000 0.000726 0.354166 0.935182
8.500000 40.500000 29.500000 -0.008120 0.352948 0.935608
8.500000 40.500000 30.500000 -0.015645 0.351455 0.936074
8.500000 40.500000 31.500000 -0.022056 0.349783 0.936571
8.500000 40.500000 32.500000 -0.027529 0.348000 0.937090
8.500000 40.500000 33.500000 -0.032206 0.346160 0.937623
8.500000 40.500000 34.500000 -0.036209 0.344300 0.938161
8.500000 40.500000 35.500000 -0.039637 0.342449 0.938700
8.500000 40.500000 36.500000 -0.042574 0.340629 0.939233
8.500000 40.500000 37.500000 -0.045091 0.338856 0.939757
8.500000 40.500000 38.500000 -0.047248 0.337144 0.940267
8.500000 40.500000 39.500000 -0.049095 0.335500 0.940760
8.500000 40.500000 40.500000 -0.050677 0.333932 0.941234
8.500000 40.500000 41.500000 -0.052031 0.332445 0.941686
8.500000 40.500000 42.500000 -0.053189 0.331040 0.942116
8.500000 40.500000 43.500000 -0.054181 0.329719 0.942523
8.500000 40.500000 44.500000 -0.055030 0.328484 0.942905
8.500000 40.500000 45.500000 -0.055758 0.327331 0.943263
8.500000 40.500000 46.500000 -0.056383 0.326262 0.943596
8.500000 40.500000 47.500000 -0.056922 0.325272 0.943906
8.500000 40.500000 48.500000 -0.057389 0.324359 0.944192
8.500000 40.500000 49.500000 -0.057795 0.323522 0.944454
8.500000 40.500000 50.500000 -0.058152 0.322756 0.944694
8.500000 40.500000 51.500000 -0.058468 0.322058 0.944913
8.500000 40.500000 52.500000 -0.058751 0.321426 0.945110
8.500000 40.500000 53.500000 -0.059007 0.320856 0.945288
8.500000 40.500000 54.500000 -0.059243 0.320344 0.945447
8.500000 40.500000 55.500000 -0.059463 0.319889 0.945587
8.500000 40.500000 56.500000 -0.059671 0.319488 0.945710
8.500000 40.500000 57.500000 -0.059872 0.319137 0.945816
8.500000 40.500000 58.500000 -0.060066 0.318835 0.945905
8.500000 40.500000 59.500000 -0.060259 0.318579 0.945979
8.500000 40.500000 60.500000 -0.060450 0.318368 0.946038
8.500000 40.500000 61.500000 -0.060644 0.318201 0.946082
8.500000 40.500000 62.500000 -0.060840 0.318076 0.946111
8.500000 40.500000 63.500000 -0.061042 0.317992 0.946126
8.500000 40.500000 64.500000 -0.061251 0.317949 0.946127
8.500000 40.500000 65.500000 -0.061467 0.317946 0.946114
