# x_nm  y_nm  z_nm  mx  my  mz
8.500000 39.500000 40.500000 0.026063 0.364081 0.931003
8.500000 39.500000 41.500000 0.008504 0.365118 0.930922
8.500000 39.500000 42.500000 -0.006371 0.365312 0.930863
8.500000 39.500000 43.500000 -0.018974 0.364800 0.930893
8.500000 39.500000 44.500000 -0.029663 0.363770 0.931016
8.500000 39.500000 45.500000 -0.038741 0.362386 0.931223
8.500000 39.500000 46.500000 -0.046464 0.360771 0.931496
8.500000 39.500000 47.500000 -0.053048 0.359020 0.931821
8.500000 39.500000 48.500000 -0.058672 0.357203 0.932182
8.500000 39.500000 49.500000 -0.063487 0.355369 0.932568
8.500000 39.500000 50.500000 -0.067618 0.353558 0.932965
8.500000 39.500000 51.500000 -0.071170 0.351798 0.933366
8.500000 39.500000 52.500000 -0.074231 0.350113 0.933762
8.500000 39.500000 53.500000 -0.076877 0.348517 0.934144
8.500000 39.500000 54.500000 -0.079171 0.347025 0.934508
8.500000 39.500000 55.500000 -0.081170 0.345646 0.934848
8.500000 39.500000 56.500000 -0.082923 0.344388 0.935158
8.500000 39.500000 57.500000 -0.084471 0.343256 0.935436
8.500000 39.500000 58.500000 -0.085854 0.342254 0.935677
8.500000 39.500000 59.500000 -0.087107 0.341382 0.935880
8.500000 39.500000 60.500000 -0.088261 0.340642 0.936041
8.500000 39.500000 61.500000 -0.089345 0.340034 0.936159
8.500000 39.500000 62.500000 -0.090386 0.339555 0.936233
8.500000 39.500000 63.500000 -0.091412 0.339203 0.936261
8.500000 39.500000 64.500000 -0.092446 0.338974 0.936243
8.500000 39.500000 65.500000 -0.093515 0.338862 0.936177
8.500000 39.500000 66.500000 -0.094642 0.338862 0.936064
8.500000 39.500000 67.500000 -0.095853 0.338967 0.935903
8.500000 39.500000 68.500000 -0.097174 0.339166 0.935694
8.500000 39.500000 69.500000 -0.098631 0.339449 0.935439
8.500000 39.500000 70.500000 -0.100254 0.339805 0.935137
8.500000 39.500000 71.500000 -0.102074 0.340217 0.934791
8.500000 39.500000 72.500000 -0.104124 0.340668 0.934400
8.500000 39.500000 73.500000 -0.106442 0.341138 0.933967
8.500000 39.500000 74.500000 -0.109070 0.341602 0.933495
8.500000 39.500000 75.500000 -0.112055 0.342030 0.932984
8.500000 39.500000 76.500000 -0.115453 0.342386 0.932439
8.500000 39.500000 77.500000 -0.119326 0.342629 0.931862
8.500000 39.500000 78.500000 -0.123748 0.342704 0.931257
8.500000 39.500000 79.500000 -0.128807 0.342549 0.930628
8.500000 39.500000 80.500000 -0.134604 0.342080 0.929980
8.500000 39.500000 81.500000 -0.141260 0.341196 0.929317
8.500000 39.500000 82.500000 -0.148919 0.339765 0.928646
8.500000 39.500000 83.500000 -0.157747 0.337614 0.927972
8.500000 39.500000 84.500000 -0.167936 0.334515 0.927306
8.500000 39.500000 85.500000 -0.179702 0.330158 0.926662
8.500000 39.500000 86.500000 -0.193283 0.324102 0.926067
8.500000 39.500000 87.500000 -0.208918 0.315665 0.925586
8.500000 40.500000 40.500000 0.052776 0.358081 0.932198
8.500000 40.500000 41.500000 0.035436 0.359660 0.932410
8.500000 40.500000 42.500000 0.020723 0.360143 0.932667
8.500000 40.500000 43.500000 0.008243 0.359832 0.932980
8.500000 40.500000 44.500000 -0.002351 0.358963 0.933349
8.500000 40.500000 45.500000 -0.011355 0.357712 0.933763
8.500000 40.500000 46.500000 -0.019021 0.356210 0.934212
8.500000 40.500000 47.500000 -0.025560 0.354556 0.934685
8.500000 40.500000 48.500000 -0.031150 0.352821 0.935172
8.500000 40.500000 49.500000 -0.035939 0.351059 0.935663
8.500000 40.500000 50.500000 -0.040050 0.349310 0.936151
8.500000 40.500000 51.500000 -0.043588 0.347603 0.936628
8.500000 40.500000 52.500000 -0.046638 0.345963 0.937088
8.500000 40.500000 53.500000 -0.049275 0.344407 0.937526
8.500000 40.500000 54.500000 -0.051563 0.342949 0.937938
8.500000 40.500000 55.500000 -0.053558 0.341601 0.938318
8.500000 40.500000 56.500000 -0.055307 0.340369 0.938664
