# x_nm  y_nm  z_nm  mx  my  mz
8.500000 39.500000 0.500000 0.540498 0.841129 0.019094
8.500000 39.500000 1.500000 0.414287 0.910143 0.002230
8.500000 39.500000 2.500000 0.300005 0.953815 -0.015306
8.500000 39.500000 3.500000 0.199149 0.979590 -0.027254
8.500000 39.500000 4.500000 0.111439 0.993275 -0.031409
8.500000 39.500000 5.500000 0.035678 0.998990 -0.027336
8.500000 39.500000 6.500000 -0.029644 0.999442 -0.015396
8.500000 39.500000 7.500000 -0.085995 0.996289 0.003692
8.500000 39.500000 8.500000 -0.134633 0.990469 0.029057
8.500000 39.500000 9.500000 -0.176559 0.982474 0.059768
8.500000 39.500000 10.500000 -0.212518 0.972540 0.094879
8.500000 39.500000 11.500000 -0.243045 0.960792 0.133445
8.500000 39.500000 12.500000 -0.268512 0.947331 0.174541
8.500000 39.500000 13.500000 -0.289185 0.932291 0.217269
8.500000 39.500000 14.500000 -0.305266 0.915868 0.260766
8.500000 39.500000 15.500000 -0.316940 0.898332 0.304220
8.500000 39.500000 16.500000 -0.324402 0.880021 0.346880
8.500000 39.500000 17.500000 -0.327884 0.861333 0.388069
8.500000 39.500000 18.500000 -0.327671 0.842696 0.427195
8.500000 39.500000 19.500000 -0.324101 0.824554 0.463756
8.500000 39.500000 20.500000 -0.317569 0.807336 0.497351
8.500000 39.500000 21.500000 -0.308515 0.791437 0.527680
8.500000 39.500000 22.500000 -0.297412 0.777196 0.554538
8.500000 39.500000 23.500000 -0.284754 0.764881 0.577817
8.500000 39.500000 24.500000 -0.271033 0.754681 0.597493
8.500000 39.500000 25.500000 -0.256729 0.746700 0.613620
8.500000 39.500000 26.500000 -0.242292 0.740960 0.626317
8.500000 39.500000 27.500000 -0.228132 0.737401 0.635764
8.500000 39.500000 28.500000 -0.214603 0.735899 0.642183
8.500000 39.500000 29.500000 -0.202007 0.736268 0.645834
8.500000 39.500000 30.500000 -0.190579 0.738282 0.647007
8.500000 39.500000 31.500000 -0.180495 0.741683 0.646010
8.500000 39.500000 32.500000 -0.171866 0.746195 0.643160
8.500000 39.500000 33.500000 -0.164748 0.751543 0.638781
8.500000 39.500000 34.500000 -0.159143 0.757457 0.633192
8.500000 39.500000 35.500000 -0.155008 0.763687 0.626701
8.500000 39.500000 36.500000 -0.152262 0.770008 0.619600
8.500000 39.500000 37.500000 -0.150794 0.776225 0.612158
8.500000 39.500000 38.500000 -0.150471 0.782173 0.604618
8.500000 39.500000 39.500000 -0.151149 0.787725 0.597196
8.500000 39.500000 40.500000 -0.152673 0.792783 0.590074
8.500000 39.500000 41.500000 -0.154891 0.797279 0.583400
8.500000 39.500000 42.500000 -0.157653 0.801173 0.577293
8.500000 39.500000 43.500000 -0.160819 0.804447 0.571840
8.500000 39.500000 44.500000 -0.164259 0.807104 0.567100
8.500000 39.500000 45.500000 -0.167855 0.809161 0.563101
8.500000 39.500000 46.500000 -0.171505 0.810648 0.559854
8.500000 39.500000 47.500000 -0.175120 0.811602 0.557346
8.500000 39.500000 48.500000 -0.178625 0.812070 0.555550
8.500000 39.500000 49.500000 -0.181957 0.812101 0.554422
8.500000 39.500000 50.500000 -0.185066 0.811747 0.553911
8.500000 39.500000 51.500000 -0.187915 0.811061 0.553956
8.500000 39.500000 52.500000 -0.190473 0.810099 0.554491
8.500000 39.500000 53.500000 -0.192721 0.808912 0.555446
8.500000 39.500000 54.500000 -0.194648 0.807554 0.556749
8.500000 39.500000 55.500000 -0.196249 0.806074 0.558328
8.500000 39.500000 56.500000 -0.197526 0.804523 0.560113
8.500000 39.500000 57.500000 -0.198486 0.802944 0.562035
8.500000 39.500000 58.500000 -0.199142 0.801383 0.564028
8.500000 39.500000 59.500000 -0.199511 0.799879 0.566029
8.500000 39.500000 60.500000 -0.199615 0.798469 0.567980
8.500000 39.500000 61.500000 -0.199482 0.797184 0.569829
8.500000 39.500000 62.500000 -0.199140 0.796052 0.571529
8.500000 39.500000 63.500000 -0.198623 0.795095 0.573039
8.500000 39.500000 64.500000 -0.197967 0.794330 0.574325
8.500000 39.500000 65.500000 -0.197213 0.793768 0.575361
8.500000 39.500000 66.500000 -0.196399 0.793413 0.576128
8.500000 39.500000 67.500000 -0.195570 0.793261 0.576619
8.500000 39.500000 68.500000 -0.194767 0.793305 0.576830
8.500000 39.500000 69.500000 -0.194033 0.793528 0.576771
8.500000 39.500000 70.500000 -0.193409 0.793905 0.576461
8.500000 39.500000 71.500000 -0.192936 0.794410 0.575924
8.500000 39.500000 72.500000 -0.192648 0.795006 0.575198
8.500000 39.500000 73.500000 -0.192578 0.795652 0.574327
8.500000 39.500000 74.500000 -0.192753 0.796305 0.573363
8.500000 39.500000 75.500000 -0.193193 0.796915 0.572366
8.500000 39.500000 76.500000 -0.193912 0.797432 0.571402
8.500000 39.500000 77.500000 -0.194913 0.797803 0.570543
8.500000 39.500000 78.500000 -0.196192 0.797977 0.569861
8.500000 39.500000 79.500000 -0.197732 0.797902 0.569433
8.500000 39.500000 80.500000 -0.199508 0.797533 0.569331
8.500000 39.500000 81.500000 -0.201478 0.796826 0.569627
8.500000 39.500000 82.500000 -0.203590 0.795748 0.570383
8.500000 39.500000 83.500000 -0.205776 0.794272 0.571655
8.500000 39.500000 84.500000 -0.207957 0.792384 0.573482
8.500000 39.500000 85.500000 -0.210040 0.790085 0.575890
8.500000 39.500000 86.500000 -0.211917 0.787392 0.578883
8.500000 39.500000 87.500000 -0.213474 0.784340 0.582443
8.500000 39.500000 88.500000 -0.214586 0.780987 0.586525
8.500000 39.500000 89.500000 -0.215125 0.777415 0.591056
8.500000 39.500000 90.500000 -0.214963 0.773729 0.595932
8.500000 39.500000 91.500000 -0.213980 0.770061 0.601015
8.500000 39.500000 92.500000 -0.212065 0.766567 0.606138
8.500000 39.500000 93.500000 -0.209128 0.763425 0.611104
8.500000 39.500000 94.500000 -0.205104 0.760832 0.615684
8.500000 39.500000 95.500000 -0.199960 0.758999 0.619626
8.500000 39.500000 96.500000 -0.193700 0.758140 0.622659
8.500000 39.500000 97.500000 -0.186372 0.758467 0.624494
8.500000 39.500000 98.500000 -0.178067 0.760178 0.624838
8.500000 39.500000 99.500000 -0.168923 0.763443 0.623393
8.500000 39.500000 100.500000 -0.159124 0.768399 0.619873
8.500000 39.500000 101.500000 -0.148891 0.775133 0.614004
8.500000 39.500000 102.500000 -0.138483 0.783675 0.605537
8.500000 39.500000 103.500000 -0.128186 0.793993 0.594258
8.500000 39.500000 104.500000 -0.118307 0.805985 0.579993
8.500000 39.500000 105.500000 -0.109163 0.819479 0.562617
8.500000 39.500000 106.500000 -0.101072 0.834237 0.542063
8.500000 39.500000 107.500000 -0.094346 0.849961 0.518330
8.500000 39.500000 108.500000 -0.089289 0.866297 0.491484
8.500000 39.500000 109.500000 -0.086184 0.882855 0.461671
8.500000 39.500000 110.500000 -0.085300 0.899215 0.429112
8.500000 39.500000 111.500000 -0.086890 0.914947 0.394108
8.500000 39.500000 112.500000 -0.091202 0.929626 0.357040
8.500000 39.500000 113.500000 -0.098483 0.942838 0.318367
8.500000 39.500000 114.500000 -0.108999 0.954197 0.278618
8.500000 39.500000 115.500000 -0.123054 0.963342 0.238392
8.500000 39.500000 116.500000 -0.141008 0.969936 0.198345
8.500000 39.500000 117.500000 -0.163308 0.973648 0.159188
8.500000 39.500000 118.500000 -0.190510 0.974117 0.121667
8.500000 39.500000 119.500000 -0.223304 0.970898 0.086561
8.500000 39.500000 120.500000 -0.262527 0.963375 0.054662
8.500000 39.500000 121.500000 -0.309154 0.950635 0.026758
8.500000 39.500000 122.500000 -0.364242 0.931297 0.003610
8.500000 39.500000 123.500000 -0.428799 0.903290 -0.014103
8.500000 39.500000 124.500000 -0.503514 0.863600 -0.025877
8.500000 39.500000 125.500000 -0.588295 0.808029 -0.031589
8.500000 39.500000 126.500000 -0.681542 0.731083 -0.031913
8.500000 39.500000 127.500000 -0.779153 0.626156 -0.029140
8.500000 40.500000 0.500000 0.542994 0.839730 -0.003272
8.500000 40.500000 1.500000 0.416857 0.908875 -0.013322
8.500000 40.500000 2.500000 0.302863 0.952763 -0.022740
8.500000 40.500000 3.500000 0.202656 0.978880 -0.026921
8.500000 40.500000 4.500000 0.115994 0.992957 -0.024134
8.500000 40.500000 5.500000 0.041689 0.999032 -0.014030
8.500000 40.500000 6.500000 -0.021779 0.999758 0.003070
8.500000 40.500000 7.500000 -0.075897 0.996763 0.026530
8.500000 40.500000 8.500000 -0.121960 0.990979 0.055559
8.500000 40.500000 9.500000 -0.161010 0.982905 0.089299
8.500000 40.500000 10.500000 -0.193850 0.972794 0.126858
8.500000 40.500000 11.500000 -0.221077 0.960792 0.167341
8.500000 40.500000 12.500000 -0.243133 0.947019 0.209858
8.500000 40.500000 13.500000 -0.260350 0.931629 0.253546
8.500000 40.500000 14.500000 -0.273001 0.914833 0.297575
8.500000 40.500000 15.500000 -0.281332 0.896915 0.341168
