# x_nm  y_nm  z_nm  mx  my  mz
8.500000 39.500000 16.500000 0.168075 0.202405 0.964771
8.500000 39.500000 17.500000 0.156803 0.232791 0.959803
8.500000 39.500000 18.500000 0.155925 0.263027 0.952105
8.500000 39.500000 19.500000 0.159389 0.292713 0.942822
8.500000 39.500000 20.500000 0.164100 0.321584 0.932553
8.500000 39.500000 21.500000 0.168472 0.349366 0.921716
8.500000 39.500000 22.500000 0.171741 0.375811 0.910643
8.500000 39.500000 23.500000 0.173602 0.400730 0.899598
8.500000 39.500000 24.500000 0.173993 0.424003 0.888790
8.500000 39.500000 25.500000 0.172975 0.445572 0.878377
8.500000 39.500000 26.500000 0.170662 0.465428 0.868476
8.500000 39.500000 27.500000 0.167184 0.483596 0.859177
8.500000 39.500000 28.500000 0.162666 0.500118 0.850542
8.500000 39.500000 29.500000 0.157224 0.515051 0.842617
8.500000 39.500000 30.500000 0.150957 0.528447 0.835438
8.500000 39.500000 31.500000 0.143959 0.540359 0.829028
8.500000 39.500000 32.500000 0.136315 0.550835 0.823407
8.500000 39.500000 33.500000 0.128110 0.559915 0.818586
8.500000 39.500000 34.500000 0.119428 0.567637 0.814571
8.500000 39.500000 35.500000 0.110355 0.574034 0.811361
8.500000 39.500000 36.500000 0.100983 0.579141 0.808949
8.500000 39.500000 37.500000 0.091408 0.582992 0.807319
8.500000 39.500000 38.500000 0.081727 0.585627 0.806450
8.500000 39.500000 39.500000 0.072044 0.587090 0.806310
8.500000 39.500000 40.500000 0.062459 0.587432 0.806860
8.500000 39.500000 41.500000 0.053073 0.586710 0.808056
8.500000 39.500000 42.500000 0.043986 0.584992 0.809846
8.500000 39.500000 43.500000 0.035289 0.582349 0.812173
8.500000 39.500000 44.500000 0.027071 0.578862 0.814976
8.500000 39.500000 45.500000 0.019411 0.574615 0.818193
8.500000 39.500000 46.500000 0.012380 0.569699 0.821760
8.500000 39.500000 47.500000 0.006040 0.564206 0.825612
8.500000 39.500000 48.500000 0.000444 0.558230 0.829686
8.500000 39.500000 49.500000 -0.004366 0.551864 0.833923
8.500000 39.500000 50.500000 -0.008357 0.545200 0.838265
8.500000 39.500000 51.500000 -0.011505 0.538326 0.842658
8.500000 39.500000 52.500000 -0.013796 0.531328 0.847054
8.500000 39.500000 53.500000 -0.015224 0.524283 0.851408
8.500000 39.500000 54.500000 -0.015792 0.517263 0.855681
8.500000 39.500000 55.500000 -0.015509 0.510332 0.859837
8.500000 39.500000 56.500000 -0.014392 0.503549 0.863847
8.500000 39.500000 57.500000 -0.012462 0.496960 0.867684
8.500000 39.500000 58.500000 -0.009747 0.490608 0.871326
8.500000 39.500000 59.500000 -0.006279 0.484525 0.874755
8.500000 39.500000 60.500000 -0.002091 0.478735 0.877957
8.500000 39.500000 61.500000 0.002777 0.473257 0.880920
